Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Will,2,T. Romo QB - DAL ,25.86,R. Rice RB - BAL ,11.20,M. Jones-Drew RB - JAC ,11.30,T. Smith WR - BAL ,13.70,W. Welker WR - NE ,4.10,T. Gonzalez TE - ATL ,1.40,M. Bush RB - LV ,13.90,B. Cundiff K - BAL ,2.00,49ers DEF ,18.00,S. Johnson WR - BUF ,8.20,R. Mendenhall RB - PIT ,8.90,D. Heyward-Bey WR - LV FP ,19.50,A. Bradshaw RB - NYG ,13.90,M. Vick QB - PHI FP ,22.16,B. Roethlisberger QB - PIT ,5.20,B. Jacobs RB - NYG ,3.30,F. Jackson RB - BUF ,0.00,101.46,Dannye Van,147.50
Dannye Van,3,T. Brady QB - NE LP ,27.00,F. Jones RB - DAL ,13.10,C. Spiller RB - BUF ,28.70,L. Fitzgerald WR - ARI ,6.50,R. White WR - ATL ,25.50,R. Gronkowski TE - NE ,5.30,C. Johnson WR - DET ,33.40,D. Bailey K - DAL ,7.00,Steelers DEF ,1.00,D. Bryant WR - DAL ,10.00,D. Bowe WR - KC ,4.90,S. Moss WR - WAS ,10.00,F. Gore RB - SF ,12.50,D. Sproles RB - NO ,17.20,A. Peterson RB - MIN ,6.00,Packers DEF ,1.00,Texans DEF ,1.00,147.50,Will,101.46
Tilly,6,M. Stafford QB - DET ,30.14,D. Murray RB - DAL ,0.00,D. Williams RB - CAR ,12.10,G. Jennings WR - GB ,0.00,S. Smith WR - CAR ,14.20,M. Lewis TE - JAC ,3.00,B. Lloyd WR - STL ,4.20,A. Vinatieri K - IND ,9.00,Bears DEF ,9.00,P. Hillis RB - CLE ,16.80,T. Tebow QB - DEN ,27.06,J. Jones WR - ATL ,15.10,M. Ingram RB - NO ,0.00,M. Colston WR - NO ,9.10,O. Daniels TE - HOU ,2.90,P. Manning QB - IND ,0.00,Lions DEF ,5.00,81.64,-,-
LeMar,5,M. Ryan QB - ATL ,20.96,R. Helu RB - WAS ,6.90,M. Lynch RB - SEA ,16.70,H. Nicks WR - NYG ,7.30,N. Washington WR - TEN ,12.20,J. Graham TE - NO ,11.00,C. Johnson RB - TEN ,10.90,M. Crosby K - GB ,2.00,Bengals DEF ,7.00,J. Maclin WR - PHI ,5.70,J. Addai RB - IND ,2.70,M. Austin WR - DAL ,11.30,R. Wayne WR - IND ,9.30,S. Jackson RB - STL ,14.30,E. Manning QB - NYG ,4.28,S. Holmes WR - NYJ ,8.00,Jets DEF ,7.00,94.96,Quinten,129.18
Quinten,1,D. Brees QB - NO ,34.88,A. Foster RB - HOU ,20.70,L. McCoy RB - PHI ,25.70,V. Jackson WR - LAC ,9.30,M. Wallace WR - PIT ,6.60,J. Witten TE - DAL ,7.70,S. Greene RB - NYJ ,7.30,D. Akers K - SF ,8.00,Cowboys DEF ,9.00,M. Forte RB - CHI ,0.00,B. Wells RB - ARI ,12.10,P. Harvin WR - MIN ,0.70,J. Best RB - DET ,0.00,C. Newton QB - CAR ,19.46,R. Fitzpatrick QB - BUF ,15.34,J. Jones WR - GB ,1.70,M. Williams WR - TB ,0.00,129.18,LeMar,94.96
bob,4,A. Rodgers QB - GB ,22.60,R. Mathews RB - LAC ,22.90,R. Bush RB - MIA ,24.90,J. Nelson WR - GB ,2.90,A. Green WR - CIN ,11.50,A. Gates TE - LAC ,3.10,V. Cruz WR - NYG ,4.40,J. Kasay K - NO ,6.00,Ravens DEF ,-1.00,D. McFadden RB - LV ,0.00,L. Blount RB - TB ,2.10,L. Robinson WR - DAL ,8.90,B. Marshall WR - MIA ,12.40,W. McGahee RB - DEN ,7.00,M. Turner RB - ATL ,12.50,M. Barber RB - CHI ,3.30,A. Brown WR - PIT ,5.90,97.30,-,-
