Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Will,3,M. Vick QB - PHI FP ,9.92,R. Rice RB - BAL ,14.60,J. Battle RB - KC ,4.90,W. Welker WR - NE ,14.90,R. White WR - ATL ,7.60,T. Gonzalez TE - ATL ,9.60,M. Bush RB - LV ,18.90,B. Cundiff K - BAL ,13.00,49ers DEF ,12.00,S. Johnson WR - BUF ,8.40,R. Mendenhall RB - PIT ,11.50,M. Sanchez QB - NYJ ,8.90,E. Decker WR - DEN ,10.70,A. Bradshaw RB - NYG ,0.00,M. Jones-Drew RB - JAC ,0.00,A. Johnson WR - HOU ,0.00,A. Boldin WR - BAL ,8.80,104.42,Quinten,138.02
Dannye Van,2,T. Brady QB - NE LP ,16.18,F. Gore RB - SF ,11.40,F. Jackson RB - BUF ,10.00,D. Bowe WR - KC ,8.80,L. Fitzgerald WR - ARI ,10.30,J. Finley TE - GB ,10.40,D. Bryant WR - DAL ,5.60,J. Kasay K - NO ,9.00,Cowboys DEF ,11.00,F. Davis TE - WAS ,4.20,D. Jackson WR - PHI ,0.60,R. Gronkowski TE - NE ,16.10,C. Johnson WR - DET ,0.00,A. Peterson RB - MIN ,0.00,D. Bailey K - DAL ,11.00,Raiders DEF ,-3.00,Eagles DEF ,9.00,92.68,Tilly,77.36
Tilly,5,T. Tebow QB - DEN ,24.76,P. Hillis RB - CLE ,0.00,D. Murray RB - DAL ,18.60,M. Colston WR - NO ,5.20,B. Lloyd WR - STL ,8.00,O. Daniels TE - HOU ,3.20,G. Jennings WR - GB ,10.60,A. Vinatieri K - IND ,1.00,Bears DEF ,6.00,M. Stafford QB - DET ,0.00,J. Jones WR - ATL ,28.40,M. Ingram RB - NO ,0.00,M. Lewis TE - JAC ,0.00,D. Williams RB - CAR ,0.00,P. Manning QB - IND ,0.00,S. Smith WR - CAR ,0.00,Lions DEF ,0.00,77.36,Dannye Van,92.68
LeMar,6,E. Manning QB - NYG ,17.10,J. Addai RB - IND ,0.00,S. Jackson RB - STL ,14.20,J. Maclin WR - PHI ,6.30,M. Austin WR - DAL ,5.30,J. Graham TE - NO ,7.80,C. Johnson RB - TEN ,11.00,M. Crosby K - GB ,9.00,Jets DEF ,10.00,T. Hightower RB - WAS ,0.00,H. Nicks WR - NYG ,0.00,D. Thomas RB - MIA ,1.20,V. Davis TE - SF ,2.10,R. Wayne WR - IND ,3.00,P. Rivers QB - LAC ,25.30,S. Holmes WR - NYJ ,8.90,Giants DEF ,11.00,80.70,bob,121.78
Quinten,1,D. Brees QB - NO ,18.32,A. Foster RB - HOU ,21.00,L. McCoy RB - PHI ,17.70,V. Jackson WR - LAC ,32.10,M. Wallace WR - PIT ,10.80,J. Witten TE - DAL ,13.10,M. Forte RB - CHI ,11.00,D. Akers K - SF ,15.00,Chiefs DEF ,-1.00,S. Greene RB - NYJ ,7.60,B. Wells RB - ARI ,3.30,P. Harvin WR - MIN ,0.00,J. Best RB - DET ,0.00,C. Newton QB - CAR ,0.00,R. Fitzpatrick QB - BUF ,10.54,J. Jones WR - GB ,8.10,M. Williams WR - TB ,4.60,138.02,Will,104.42
bob,4,A. Rodgers QB - GB ,31.08,L. Blount RB - TB ,8.00,M. Turner RB - ATL ,13.80,A. Green WR - CIN ,8.30,V. Cruz WR - NYG ,9.10,A. Gates TE - LAC ,15.60,D. Sproles RB - NO ,15.90,N. Rackers K - HOU ,14.00,Ravens DEF ,6.00,D. McFadden RB - LV ,0.00,J. Nelson WR - GB ,16.50,P. Garcon WR - IND ,2.20,D. Heyward-Bey WR - LV FP ,0.00,R. Mathews RB - LAC ,0.00,A. Hernandez TE - NE ,9.50,W. McGahee RB - DEN ,28.30,J. Hanson K - DET ,0.00,121.78,LeMar,80.70
