Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Will,2,J. Flacco QB - BAL ,2.22,R. Rice RB - BAL ,19.00,M. Jones-Drew RB - JAC ,8.70,S. Johnson WR - BUF ,5.80,W. Welker WR - NE ,21.80,S. Chandler TE - BUF ,0.80,A. Bradshaw RB - NYG ,9.00,R. Lindell K - BUF ,8.00,49ers DEF ,8.00,R. Mendenhall RB - PIT ,8.50,M. Sanchez QB - NYJ ,-2.94,T. Smith WR - BAL ,0.10,A. Gates TE - LAC ,0.00,A. Johnson WR - HOU ,3.60,R. White WR - ATL ,7.80,B. Cundiff K - BAL ,10.00,Colts DEF ,2.00,83.32,Quinten,144.36
Dannye Van,4,M. Ryan QB - ATL ,18.24,F. Jackson RB - BUF ,15.80,A. Peterson RB - MIN ,8.30,C. Johnson WR - DET ,21.60,L. Fitzgerald WR - ARI ,10.20,R. Gronkowski TE - NE ,1.50,B. Marshall WR - MIA ,5.20,S. Gostkowski K - NE ,7.00,Buccaneers DEF ,7.00,J. Finley TE - GB ,2.80,M. Stafford QB - DET ,15.50,L. Blount RB - TB ,20.10,D. Thomas RB - MIA ,0.00,D. Bowe WR - KC ,16.70,S. Rice WR - SEA ,13.90,F. Gore RB - SF ,19.90,Steelers DEF ,1.00,94.84,Tilly,99.54
Tilly,5,T. Brady QB - NE LP ,16.94,M. Ingram RB - NO ,5.80,C. Benson RB - CIN ,10.40,G. Jennings WR - GB ,16.30,S. Smith WR - CAR ,18.10,Z. Miller TE - SEA ,2.10,P. Hillis RB - CLE ,6.90,A. Vinatieri K - IND ,5.00,Lions DEF ,18.00,F. Jones RB - DAL ,7.60,A. Collie WR - IND ,1.60,J. Jones WR - ATL ,12.70,M. Colston WR - NO ,0.80,M. Lewis TE - JAC ,3.80,D. Brees QB - NO ,15.04,B. Lloyd WR - STL ,13.60,Eagles DEF ,5.00,99.54,Dannye Van,94.84
LeMar,6,P. Rivers QB - LAC ,18.08,T. Hightower RB - WAS ,2.80,D. Williams RB - CAR ,8.20,H. Nicks WR - NYG ,22.20,S. Moss WR - WAS ,9.90,J. Graham TE - NO ,19.20,C. Johnson RB - TEN ,11.20,M. Crosby K - GB ,7.00,Falcons DEF ,3.00,M. Manningham WR - NYG ,1.00,J. Maclin WR - PHI ,5.40,M. Austin WR - DAL ,0.00,V. Davis TE - SF ,10.50,R. Wayne WR - IND ,5.90,S. Jackson RB - STL ,12.40,E. Manning QB - NYG ,18.54,Jets DEF ,21.00,101.58,bob,121.02
Quinten,1,C. Newton QB - CAR ,32.46,L. McCoy RB - PHI ,11.20,J. Best RB - DET ,7.00,V. Jackson WR - LAC ,16.80,M. Wallace WR - PIT ,7.70,J. Witten TE - DAL ,15.40,M. Forte RB - CHI ,28.80,R. Gould K - CHI ,10.00,Packers DEF ,15.00,A. Foster RB - HOU ,22.60,S. Greene RB - NYJ ,2.30,B. Wells RB - ARI ,31.80,J. Ford WR - LV ,3.00,O. Daniels TE - HOU ,12.90,M. Vick QB - PHI FP ,30.14,R. Fitzpatrick QB - BUF ,8.46,P. Thomas RB - NO ,7.90,144.36,Will,83.32
bob,3,A. Rodgers QB - GB ,45.92,D. McFadden RB - LV ,12.30,R. Mathews RB - LAC ,14.90,D. Moore WR - LV ,7.90,D. Henderson WR - NO ,0.00,D. Keller TE - NYJ ,1.20,M. Turner RB - ATL ,20.80,N. Rackers K - HOU ,5.00,Bears DEF ,13.00,J. Nelson WR - GB ,15.10,A. Green WR - CIN ,12.40,R. Meachem WR - NO ,5.90,T. Romo QB - DAL ,19.24,N. Washington WR - TEN ,6.20,D. Sproles RB - NO ,13.10,S. Janikowski K - LV ,7.00,Ravens DEF ,32.00,121.02,LeMar,101.58
