Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Will,2,B. Roethlisberger QB - PIT ,14.06,R. Rice RB - BAL ,16.40,M. Jones-Drew RB - JAC ,16.70,S. Johnson WR - BUF ,15.40,A. Johnson WR - HOU ,13.60,S. Chandler TE - BUF ,7.00,R. Mendenhall RB - PIT ,4.60,B. Cundiff K - BAL ,13.00,Saints DEF ,3.00,J. Flacco QB - BAL ,28.26,J. Freeman QB - TB ,12.70,P. Harvin WR - MIN ,8.80,A. Bradshaw RB - NYG ,19.90,A. Gates TE - LAC ,0.00,W. Welker WR - NE ,35.60,R. White WR - ATL ,14.00,Patriots DEF ,3.00,103.76,LeMar,66.74
Dannye Van,3,M. Stafford QB - DET ,23.02,F. Jackson RB - BUF ,22.10,A. Peterson RB - MIN ,15.70,C. Johnson WR - DET ,22.80,L. Fitzgerald WR - ARI ,12.40,J. Finley TE - GB ,26.50,B. Marshall WR - MIA ,4.30,J. Hanson K - DET ,16.00,Steelers DEF ,10.00,M. Ryan QB - ATL ,12.40,B. Scott RB - CIN ,1.00,L. Blount RB - TB ,9.40,R. Gronkowski TE - NE ,22.90,D. Murray RB - DAL ,0.60,D. Bowe WR - KC ,12.70,F. Gore RB - SF ,2.20,S. Holmes WR - NYJ ,1.90,152.82,bob,129.58
Tilly,5,T. Brady QB - NE LP ,23.98,M. Ingram RB - NO ,9.50,C. Benson RB - CIN ,6.40,G. Jennings WR - GB ,11.90,S. Smith WR - CAR ,1.50,Z. Miller TE - SEA ,0.90,P. Hillis RB - CLE ,0.00,A. Vinatieri K - IND ,8.00,Lions DEF ,4.00,F. Jones RB - DAL ,15.50,A. Collie WR - IND ,2.90,J. Jones WR - ATL ,10.60,M. Colston WR - NO ,0.00,M. Lewis TE - JAC ,1.50,D. Brees QB - NO ,26.70,B. Lloyd WR - STL ,3.80,Eagles DEF ,2.00,66.18,Quinten,89.12
LeMar,6,P. Rivers QB - LAC ,6.44,T. Hightower RB - WAS ,14.00,M. Tolbert RB - LAC ,4.30,H. Nicks WR - NYG ,2.50,S. Moss WR - WAS ,7.00,J. Graham TE - NO ,16.00,C. Johnson RB - TEN ,7.50,M. Crosby K - GB ,9.00,Jets DEF ,0.00,M. Manningham WR - NYG ,0.00,J. Maclin WR - PHI ,6.90,M. Austin WR - DAL ,0.00,V. Davis TE - SF ,11.20,R. Wayne WR - IND ,2.40,S. Jackson RB - STL ,2.30,E. Manning QB - NYG ,25.86,Falcons DEF ,5.00,66.74,Will,103.76
Quinten,1,C. Newton QB - CAR ,15.02,L. McCoy RB - PHI ,20.10,B. Wells RB - ARI ,0.00,V. Jackson WR - LAC ,6.40,M. Wallace WR - PIT ,20.40,J. Witten TE - DAL ,6.00,M. Forte RB - CHI ,8.20,R. Gould K - CHI ,5.00,Packers DEF ,8.00,A. Foster RB - HOU ,0.00,S. Greene RB - NYJ ,10.60,J. Best RB - DET ,8.80,J. Ford WR - LV ,0.00,O. Daniels TE - HOU ,13.60,M. Vick QB - PHI FP ,8.14,R. Fitzpatrick QB - BUF ,18.16,P. Thomas RB - NO ,4.30,89.12,Tilly,66.18
bob,4,A. Rodgers QB - GB ,22.18,D. McFadden RB - LV ,29.80,M. Turner RB - ATL ,2.00,K. Britt WR - TEN ,-0.20,D. Henderson WR - NO ,6.20,D. Keller TE - NYJ ,8.70,R. Mathews RB - LAC ,26.90,N. Rackers K - HOU ,15.00,Ravens DEF ,19.00,F. Davis TE - WAS ,2.30,D. Jackson WR - PHI ,3.30,J. Starks RB - GB ,-0.60,D. Bryant WR - DAL ,6.30,A. Green WR - CIN ,2.90,T. Romo QB - DAL ,8.10,S. Janikowski K - LV ,12.00,Bears DEF ,6.00,129.58,Dannye Van,152.82
