Owner,Rank,QB,Points,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Will,8,D. Prescott QB - DAL ,6.88,D. Haskins QB - WAS ,5.04,E. Elliott RB - DAL ,14.60,A. Jones RB - GB ,3.80,Z. Pascal WR - IND ,0.00,M. Brown WR - BAL ,18.70,E. Ebron TE - IND ,6.40,D. Guice RB - WAS ,4.30,W. Lutz K - NO ,10.00,Saints DEF ,6.00,M. Stafford QB - DET ,0.00,A. Green WR - CIN ,0.00,D. Fells TE - HOU ,2.90,A. Thielen WR - MIN ,0.00,J. Conner RB - PIT ,0.00,B. Hill RB - ATL ,4.20,H. Butker K - KC ,0.00,Vikings DEF ,0.00,-,-,75.72,Tilly,143.60
Dannye Van,1,D. Brees QB - NO ,22.44,S. Darnold QB - NYJ ,28.20,J. White RB - NE ,0.40,J. Jacobs RB - LV ,4.10,M. Thomas WR - NO ,21.10,D. Moore WR - CAR ,28.40,D. Waller TE - LV ,5.60,M. Evans WR - TB ,7.00,J. Tucker K - BAL ,9.00,Ravens DEF ,14.50,K. Cousins QB - MIN ,0.00,M. Sanu WR - NE ,0.00,J. Gordon WR - SEA ,1.50,T. Kelce TE - KC ,0.00,D. Freeman RB - ATL ,0.00,D. Cook RB - MIN ,0.00,A. Ekeler RB - LAC ,0.00,M. Gallup WR - DAL ,7.50,-,-,140.74,Quinten,131.56
Tilly,7,L. Jackson QB - BAL ,36.26,K. Allen QB - CAR ,23.14,N. Chubb RB - CLE ,23.90,D. Singletary RB - BUF ,11.90,D. Hopkins WR - HOU ,24.40,J. Crowder WR - NYJ ,2.80,G. Everett TE - LA ,3.30,J. Brown WR - BUF ,10.90,M. Crosby K - GB ,0.00,Colts DEF ,7.00,L. McCoy RB - KC ,0.00,A. Jeffery WR - PHI ,0.00,D. Adams WR - GB ,15.80,M. Gordon RB - LAC ,0.00,J. Goff QB - LA ,4.38,T. Hockenson TE - DET ,0.00,D. Metcalf WR - SEA ,5.00,Steelers DEF ,14.00,-,-,143.60,Will,75.72
LeMar,6,M. Ryan QB - ATL ,7.64,B. Mayfield QB - CLE ,23.58,P. Lindsay RB - DEN ,7.30,S. Barkley RB - NYG ,7.00,M. Jones WR - DET ,7.10,T. Boyd WR - CIN ,16.60,J. Cook TE - NO ,18.90,O. Beckham WR - CLE ,17.40,D. Carlson K - LV ,3.00,Bears DEF ,6.00,T. Ginn WR - NO ,4.80,S. Watkins WR - KC ,0.00,J. Garoppolo QB - SF ,18.22,D. Henry RB - TEN ,28.00,R. Anderson WR - NYJ ,16.60,G. Kittle TE - SF ,21.90,K. Johnson RB - DET ,0.00,K. Ballage RB - MIA ,3.10,-,-,114.52,Jeff,52.98
Quinten,5,T. Brady QB - NE ,11.30,A. Rodgers QB - GB ,9.46,M. Ingram RB - BAL ,24.30,M. Sanders RB - PHI ,10.10,R. Woods WR - LA ,12.70,A. Robinson WR - CHI ,22.10,Z. Ertz TE - PHI ,21.10,C. Kupp WR - LA ,6.50,A. Vinatieri K - IND ,5.00,Patriots DEF ,9.00,D. Jackson WR - PHI ,0.00,K. Allen WR - LAC ,0.00,V. McDonald TE - PIT ,0.60,D. Johnson RB - ARI ,0.00,J. Brissett QB - IND ,13.16,P. Barber RB - TB ,3.20,M. Mack RB - IND ,0.00,Chiefs DEF ,0.00,-,-,131.56,Dannye Van,140.74
bob,2,J. Winston QB - TB ,24.32,D. Watson QB - HOU ,18.92,C. McCaffrey RB - CAR ,29.80,C. Carson RB - SEA ,7.70,C. Godwin WR - TB ,33.90,D. Chark WR - JAX ,8.30,G. Olsen TE - CAR ,6.90,L. Bell RB - NYJ ,13.30,G. Zuerlein K - LA ,6.00,49ers DEF ,12.00,T. Coleman RB - SF ,11.90,A. Hooper TE - ATL ,0.00,J. Howard RB - PHI ,0.00,T. Hill WR - KC ,0.00,K. Golladay WR - DET ,8.10,C. Sutton WR - DEN ,3.20,K. Murray QB - ARI ,0.00,T. McLaurin WR - WAS ,9.70,-,-,161.14,the old man,123.04
the old man,4,C. Wentz QB - PHI ,8.94,J. Allen QB - BUF ,19.00,L. Fournette RB - JAX ,32.40,D. Montgomery RB - CHI ,4.10,J. Edelman WR - NE ,13.30,J. Jones WR - ATL ,9.30,M. Andrews TE - BAL ,5.50,C. Ridley WR - ATL ,19.00,B. Maher K ,9.00,Raiders DEF ,2.50,E. Sanders WR - SF ,2.00,T. Hilton WR - IND ,3.30,C. Hyde RB - HOU ,6.70,K. Drake RB - ARI ,0.00,E. Engram TE - NYG ,0.00,P. Mahomes QB - KC ,0.00,R. Jones RB - TB ,14.20,D. Samuel WR - SF ,12.00,-,-,123.04,bob,161.14
Jeff,3,R. Wilson QB - SEA ,9.50,D. Carr QB - LV ,4.18,T. Gurley RB - LA ,3.40,A. Kamara RB - NO ,14.70,T. Lockett WR - SEA ,4.30,A. Cooper WR - DAL ,0.00,J. Hollister TE - SEA ,3.20,J. Samuels RB - PIT ,4.70,M. Prater K - DET ,10.00,Rams DEF ,-1.00,G. Tate WR - NYG ,10.80,P. Rivers QB - LAC ,0.00,J. Landry WR - CLE ,31.80,B. Cooks WR - LA ,4.30,S. Diggs WR - MIN ,0.00,H. Henry TE - LAC ,0.00,K. Hunt RB - CLE ,11.60,J. Mixon RB - CIN ,7.90,D. Njoku TE - CLE ,0.00,52.98,LeMar,114.52
