Owner,Rank,QB,Points,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Will,8,D. Prescott QB - DAL ,17.46,G. Minshew QB - JAX ,13.58,E. Elliott RB - DAL ,22.30,A. Jones RB - GB ,28.20,M. Brown WR - BAL ,1.30,B. Johnson WR - MIN ,7.40,D. Fells TE - HOU ,1.20,B. Hill RB - ATL ,12.20,W. Lutz K - NO ,12.00,Vikings DEF ,14.00,M. Stafford QB - DET ,0.00,A. Green WR - CIN ,0.00,A. Thielen WR - MIN ,0.00,J. Conner RB - PIT ,0.00,D. Guice RB - WAS ,4.20,D. Jones QB - NYG ,0.00,H. Butker K - KC ,11.00,Saints DEF ,0.00,-,-,129.64,-,-
Dannye Van,1,D. Brees QB - NO ,40.06,S. Darnold QB - NYJ ,17.10,D. Freeman RB - ATL ,17.40,A. Ekeler RB - LAC ,29.30,M. Evans WR - TB ,12.60,M. Thomas WR - NO ,24.90,T. Kelce TE - KC ,14.50,J. White RB - NE ,9.90,J. Tucker K - BAL ,6.00,Ravens DEF ,11.50,K. Cousins QB - MIN ,13.58,J. Gordon WR - SEA ,4.40,D. Waller TE - LV ,8.20,D. Cook RB - MIN ,14.50,M. Gallup WR - DAL ,13.90,D. Moore WR - CAR ,10.10,J. Jacobs RB - LV ,0.00,A. Mattison RB - MIN ,7.40,-,-,183.26,-,-
Tilly,7,L. Jackson QB - BAL ,19.80,K. Allen QB - CAR ,18.12,M. Gordon RB - LAC ,16.90,N. Chubb RB - CLE ,12.20,D. Hopkins WR - HOU ,22.70,D. Metcalf WR - SEA ,10.80,I. Smith TE - MIN ,3.60,D. Singletary RB - BUF ,14.80,M. Crosby K - GB ,8.00,Colts DEF ,10.00,L. McCoy RB - KC ,4.80,A. Jeffery WR - PHI ,0.00,D. Adams WR - GB ,6.10,J. Brown WR - BUF ,4.10,J. Crowder WR - NYJ ,4.40,J. Goff QB - LA ,16.12,T. Hockenson TE - DET ,0.00,Panthers DEF ,-3.00,-,-,136.92,-,-
LeMar,5,M. Ryan QB - ATL ,21.32,J. Garoppolo QB - SF ,28.06,D. Henry RB - TEN ,23.40,S. Barkley RB - NYG ,8.20,M. Jones WR - DET ,5.30,T. Boyd WR - CIN ,10.70,J. Cook TE - NO ,19.40,G. Kittle TE - SF ,15.70,D. Carlson K - LV ,3.00,Bears DEF ,3.00,T. Ginn WR - NO ,7.00,S. Watkins WR - KC ,7.00,O. Beckham WR - CLE ,4.90,R. Anderson WR - NYJ ,21.60,P. Lindsay RB - DEN ,12.50,K. Johnson RB - DET ,0.00,B. Mayfield QB - CLE ,10.98,K. Ballage RB - MIA ,0.00,-,-,138.08,Quinten,133.06
Quinten,4,T. Brady QB - NE ,10.76,A. Rodgers QB - GB ,11.40,M. Ingram RB - BAL ,9.40,M. Sanders RB - PHI ,8.90,R. Woods WR - LA ,22.20,A. Robinson WR - CHI ,19.30,Z. Ertz TE - PHI ,25.60,C. Kupp WR - LA ,12.50,J. Myers K - SEA ,5.50,Patriots DEF ,7.50,K. Allen WR - LAC ,10.80,V. McDonald TE - PIT ,0.80,D. Johnson RB - ARI ,12.30,J. Williams RB - IND ,0.00,J. Brissett QB - IND ,22.64,P. Barber RB - TB ,6.30,M. Mack RB - IND ,9.80,Chiefs DEF ,9.00,-,-,133.06,LeMar,138.08
bob,2,J. Winston QB - TB ,34.74,D. Watson QB - HOU ,28.08,C. McCaffrey RB - CAR ,19.00,C. Carson RB - SEA ,10.60,K. Golladay WR - DET ,14.80,C. Godwin WR - TB ,12.60,A. Hooper TE - ATL ,4.20,D. Chark WR - JAX ,12.00,G. Zuerlein K - LA ,4.00,49ers DEF ,-1.50,G. Olsen TE - CAR ,0.00,L. Bell RB - NYJ ,0.00,D. Parker WR - MIA ,3.80,T. Coleman RB - SF ,0.60,T. Hill WR - KC ,10.00,R. Penny RB - SEA ,2.10,C. Sutton WR - DEN ,5.90,K. Murray QB - ARI ,9.96,-,-,138.52,-,-
the old man,6,C. Wentz QB - PHI ,19.90,P. Mahomes QB - KC ,13.92,L. Fournette RB - JAX ,7.80,D. Montgomery RB - CHI ,6.60,J. Edelman WR - NE ,20.30,J. Jones WR - ATL ,9.10,M. Andrews TE - BAL ,1.90,C. Ridley WR - ATL ,16.10,Z. Gonzalez K - ARI ,5.00,Eagles DEF ,5.50,E. Sanders WR - SF ,30.60,T. Hilton WR - IND ,0.00,C. Hyde RB - HOU ,8.80,K. Drake RB - ARI ,8.20,W. Fuller WR - HOU ,0.00,R. Jones RB - TB ,7.90,J. Allen QB - BUF ,10.74,D. Samuel WR - SF ,13.40,-,-,106.12,Jeff,131.54
Jeff,3,R. Tannehill QB - TEN ,27.54,R. Wilson QB - SEA ,10.60,J. Mixon RB - CIN ,26.10,A. Kamara RB - NO ,4.30,J. Landry WR - CLE ,9.60,S. Diggs WR - MIN ,12.20,H. Henry TE - LAC ,10.90,T. Gurley RB - LA ,19.30,M. Prater K - DET ,1.00,Packers DEF ,10.00,G. Tate WR - NYG ,1.60,P. Rivers QB - LAC ,24.56,B. Cooks WR - LA ,0.00,T. Lockett WR - SEA ,6.30,A. Cooper WR - DAL ,17.30,K. Hunt RB - CLE ,13.80,J. Hollister TE - SEA ,5.40,Rams DEF ,15.00,D. Njoku TE - CLE ,0.90,131.54,the old man,106.12
