Owner,Rank,QB,Points,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Will,6,R. Tannehill QB - TEN ,18.94,L. Jackson QB - BAL ,33.42,J. McKissic RB - DET ,8.50,A. Jones RB - GB ,27.30,Z. Pascal WR - IND ,3.60,M. Brown WR - BAL ,16.00,E. Ebron TE - IND ,8.10,A. Brown WR - TEN ,2.20,H. Butker K - KC ,13.50,Giants DEF ,2.00,M. Stafford QB - DET ,0.00,A. Green WR - CIN ,0.00,D. Hopkins WR - HOU ,0.00,D. Fells TE - HOU ,0.00,A. Thielen WR - MIN ,0.00,C. Davis WR - TEN ,0.00,J. Conner RB - PIT ,0.00,D. Guice RB - WAS ,0.00,-,-,133.56,LeMar,116.04
Dannye Van,1,D. Brees QB - NO ,11.48,K. Cousins QB - MIN ,19.30,D. Cook RB - MIN ,27.80,J. Jacobs RB - LV ,17.60,M. Evans WR - TB ,10.20,M. Thomas WR - NO ,21.70,T. Kelce TE - KC ,17.00,A. Ekeler RB - LAC ,11.80,J. Tucker K - BAL ,7.00,Ravens DEF ,25.00,M. Sanu WR - NE ,0.00,J. Gordon WR - SEA ,3.70,D. Freeman RB - ATL ,6.30,J. White RB - NE ,0.00,D. Waller TE - LV ,5.50,M. Gallup WR - DAL ,15.60,D. Moore WR - CAR ,16.50,S. Darnold QB - NYJ ,21.70,-,-,168.88,bob,168.78
Tilly,8,D. Prescott QB - DAL ,25.88,J. Goff QB - LA ,3.72,M. Gordon RB - LAC ,19.80,E. Elliott RB - DAL ,7.30,D. Adams WR - GB ,15.30,D. Metcalf WR - SEA ,8.00,T. Hockenson TE - DET ,6.20,N. Chubb RB - CLE ,13.10,M. Crosby K - GB ,6.00,Colts DEF ,10.00,L. McCoy RB - KC ,0.00,A. Jeffery WR - PHI ,0.00,J. Brown WR - BUF ,10.20,J. Crowder WR - NYJ ,16.60,G. Everett TE - LA ,10.80,K. Allen QB - CAR ,13.48,D. Singletary RB - BUF ,6.50,Steelers DEF ,27.00,-,-,115.30,Jeff,121.26
LeMar,7,J. Garoppolo QB - SF ,10.02,B. Mayfield QB - CLE ,17.62,D. Henry RB - TEN ,32.10,K. Ballage RB - MIA ,6.50,S. Watkins WR - KC ,7.60,O. Beckham WR - CLE ,8.20,J. Cook TE - NO ,10.40,S. Barkley RB - NYG ,5.60,J. Myers K - SEA ,9.00,Bears DEF ,9.00,M. Ryan QB - ATL ,14.58,T. Ginn WR - NO ,0.50,M. Jones WR - DET ,10.20,T. Boyd WR - CIN ,9.20,R. Anderson WR - NYJ ,1.60,G. Kittle TE - SF ,0.00,P. Lindsay RB - DEN ,0.00,K. Johnson RB - DET ,0.00,-,-,116.04,Will,133.56
Quinten,4,A. Rodgers QB - GB ,10.02,D. Jones QB - NYG ,30.32,M. Ingram RB - BAL ,9.40,M. Mack RB - IND ,8.70,K. Allen WR - LAC ,12.60,C. Kupp WR - LA ,0.00,V. McDonald TE - PIT ,2.80,D. Johnson RB - ARI ,-0.50,A. Vinatieri K - IND ,5.50,Chiefs DEF ,6.00,D. Jackson WR - PHI ,0.00,T. Brady QB - NE ,0.00,Z. Ertz TE - PHI ,0.00,R. Woods WR - LA ,13.00,A. Robinson WR - CHI ,11.60,P. Barber RB - TB ,11.20,M. Sanders RB - PHI ,0.00,Patriots DEF ,0.00,-,-,84.84,the old man,139.18
bob,2,J. Winston QB - TB ,18.32,K. Murray QB - ARI ,26.76,L. Bell RB - NYJ ,14.80,C. McCaffrey RB - CAR ,23.10,K. Golladay WR - DET ,13.20,C. Godwin WR - TB ,10.40,A. Hooper TE - ATL ,9.70,T. Hill WR - KC ,27.50,G. Zuerlein K - LA ,4.00,49ers DEF ,21.00,L. Murray RB - NO ,2.90,T. Coleman RB - SF ,9.20,D. Watson QB - HOU ,0.00,C. Carson RB - SEA ,17.60,C. Sutton WR - DEN ,0.00,D. Chark WR - JAX ,0.00,T. McLaurin WR - WAS ,0.00,D. Henderson RB - LA ,0.40,-,-,168.78,Dannye Van,168.88
the old man,5,P. Mahomes QB - KC ,29.84,J. Allen QB - BUF ,25.44,R. Jones RB - TB ,18.60,D. Montgomery RB - CHI ,6.00,E. Sanders WR - SF ,3.40,J. Jones WR - ATL ,9.40,M. Andrews TE - BAL ,20.30,C. Ridley WR - ATL ,6.20,Z. Gonzalez K - ARI ,11.00,Titans DEF ,9.00,J. Edelman WR - NE ,0.00,T. Hilton WR - IND ,0.00,C. Hyde RB - HOU ,0.00,K. Drake RB - ARI ,7.10,C. Wentz QB - PHI ,0.00,E. Engram TE - NYG ,0.00,L. Fournette RB - JAX ,0.00,J. Smith-Schuster WR - PIT ,5.90,-,-,139.18,Quinten,84.84
Jeff,3,P. Rivers QB - LAC ,10.28,R. Wilson QB - SEA ,16.58,A. Kamara RB - NO ,11.40,J. Samuels RB - PIT ,5.50,T. Lockett WR - SEA ,4.40,S. Diggs WR - MIN ,6.40,H. Henry TE - LAC ,11.00,A. Cooper WR - DAL ,26.20,M. Prater K - DET ,9.00,Rams DEF ,20.50,G. Tate WR - NYG ,21.50,J. Landry WR - CLE ,20.20,B. Cooks WR - LA ,0.00,T. Gurley RB - LA ,7.30,J. Howard RB - PHI ,0.00,K. Hunt RB - CLE ,10.90,J. Mixon RB - CIN ,16.10,Panthers DEF ,3.00,D. Njoku TE - CLE ,0.00,121.26,Tilly,115.30
