Owner,Rank,QB,Points,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Will,8,R. Griffin QB - BAL ,6.84,D. Prescott QB - DAL ,29.62,E. Elliott RB - DAL ,25.90,A. Jones RB - GB ,15.30,M. Williams WR - LAC ,4.80,A. Miller WR - CHI ,1.00,D. Fells TE - HOU ,0.00,O. Howard TE - TB ,0.00,W. Lutz K - NO ,6.00,Bills DEF ,9.00,A. Thielen WR - MIN ,0.00,J. Conner RB - PIT ,0.00,B. Hill RB - ATL ,2.10,M. Brown WR - BAL ,2.50,G. Minshew QB - JAX ,24.50,H. Butker K - KC ,7.00,Vikings DEF ,9.50,Saints DEF ,18.50,-,-,98.46,Tilly,110.24
Dannye Van,1,D. Brees QB - NO ,22.02,C. Wentz QB - PHI ,17.06,D. Freeman RB - ATL ,8.30,R. Mostert RB - SF ,19.80,J. Edelman WR - NE ,4.10,M. Thomas WR - NO ,5.70,T. Kelce TE - KC ,3.90,M. Gallup WR - DAL ,30.30,R. Gould K - SF ,8.00,Ravens DEF ,19.00,A. Peterson RB - WAS ,6.30,J. White RB - NE ,9.20,D. Waller TE - LV ,13.70,T. Higbee TE - LA ,18.40,D. Cook RB - MIN ,0.00,M. Boone RB - MIN ,23.00,J. Jacobs RB - LV ,0.00,D. Slayton WR - NYG ,7.00,-,-,138.18,bob,144.68
Tilly,7,J. Goff QB - LA ,25.16,M. Trubisky QB - CHI ,6.38,M. Gordon RB - LAC ,21.20,N. Chubb RB - CLE ,4.70,J. Brown WR - BUF ,0.00,J. Crowder WR - NYJ ,16.60,N. Fant TE - DEN ,0.90,D. Adams WR - GB ,18.80,M. Crosby K - GB ,11.00,Colts DEF ,5.50,L. McCoy RB - KC ,0.00,D. Hopkins WR - HOU ,0.00,L. Jackson QB - BAL ,0.00,D. Lock QB - DEN ,11.98,D. Metcalf WR - SEA ,17.10,D. Singletary RB - BUF ,0.00,I. Smith TE - MIN ,1.60,Panthers DEF ,-2.00,-,-,110.24,Will,98.46
LeMar,5,J. Garoppolo QB - SF ,11.80,B. Mayfield QB - CLE ,20.06,D. Henry RB - TEN ,39.10,S. Barkley RB - NYG ,19.20,O. Beckham WR - CLE ,15.60,T. Boyd WR - CIN ,8.40,G. Kittle TE - SF ,12.80,P. Lindsay RB - DEN ,5.30,D. Carlson K - LV ,9.00,Bears DEF ,10.50,M. Ryan QB - ATL ,14.52,J. Cook TE - NO ,11.40,T. Ginn WR - NO ,1.50,M. Jones WR - DET ,0.00,S. Watkins WR - KC ,1.30,R. Anderson WR - NYJ ,3.30,K. Johnson RB - DET ,11.30,K. Ballage RB - MIA ,0.00,-,-,151.76,Jeff,144.64
Quinten,4,T. Brady QB - NE ,14.84,A. Rodgers QB - GB ,19.02,M. Ingram RB - BAL ,0.00,M. Sanders RB - PHI ,6.60,K. Allen WR - LAC ,18.70,A. Robinson WR - CHI ,11.80,Z. Ertz TE - PHI ,0.00,C. Kupp WR - LA ,19.40,J. Myers K - SEA ,3.00,Patriots DEF ,3.00,R. Woods WR - LA ,17.10,V. McDonald TE - PIT ,2.90,D. Johnson RB - ARI ,0.00,J. Williams RB - IND ,0.00,J. Brissett QB - IND ,4.18,P. Barber RB - TB ,4.50,M. Mack RB - IND ,19.70,Chiefs DEF ,14.00,-,-,96.36,the old man,102.26
bob,2,J. Winston QB - TB ,14.54,D. Jones QB - NYG ,14.64,L. Bell RB - NYJ ,10.20,C. McCaffrey RB - CAR ,19.30,B. Perriman WR - TB ,21.90,A. Brown WR - TEN ,20.40,A. Hooper TE - ATL ,8.00,D. Washington RB - LV ,17.20,Y. Koo K - ATL ,16.00,49ers DEF ,2.50,D. Williams RB - KC ,29.40,D. Parker WR - MIA ,17.70,S. Shepard WR - NYG ,6.40,T. Hill WR - KC ,8.10,K. Golladay WR - DET ,8.70,D. Watson QB - HOU ,0.00,C. Godwin WR - TB ,0.00,D. Chark WR - JAX ,5.40,C. Carson RB - SEA ,0.00,144.68,Dannye Van,138.18
the old man,6,P. Mahomes QB - KC ,11.06,J. Allen QB - BUF ,0.20,K. Drake RB - ARI ,15.80,A. Ekeler RB - LAC ,13.40,E. Sanders WR - SF ,4.00,J. Jones WR - ATL ,11.30,D. Goedert TE - PHI ,8.50,D. Samuel WR - SF ,22.00,Z. Gonzalez K - ARI ,6.00,Steelers DEF ,10.00,T. Hilton WR - IND ,8.70,C. Hyde RB - HOU ,1.30,W. Fuller WR - HOU ,0.00,L. Fournette RB - JAX ,0.00,R. Jones RB - TB ,10.60,M. Andrews TE - BAL ,0.00,T. McLaurin WR - WAS ,0.00,D. Montgomery RB - CHI ,17.30,C. Ridley WR - ATL ,0.00,102.26,Quinten,96.36
Jeff,3,R. Tannehill QB - TEN ,17.92,R. Wilson QB - SEA ,20.22,J. Mixon RB - CIN ,30.10,A. Kamara RB - NO ,18.70,T. Lockett WR - SEA ,14.10,S. Diggs WR - MIN ,0.00,H. Henry TE - LAC ,12.70,T. Gurley RB - LA ,9.90,M. Prater K - DET ,10.00,Rams DEF ,11.00,G. Tate WR - NYG ,15.30,P. Rivers QB - LAC ,15.74,J. Landry WR - CLE ,15.20,A. Cooper WR - DAL ,11.80,K. Hunt RB - CLE ,5.10,D. Njoku TE - CLE ,0.00,J. Hollister TE - SEA ,4.50,Packers DEF ,6.00,-,-,144.64,LeMar,151.76
