Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Will,2,A. Luck QB - IND ,29.62,L. Miller RB - MIA ,16.70,K. Robinson RB - NO ,10.50,J. Jones WR - ATL ,8.20,A. Brown WR - PIT ,25.78,N. Paul TE - WAS ,6.00,J. Maclin WR - PHI ,5.70,S. Gostkowski K - NE ,2.00,Texans DEF ,13.00,M. Ryan QB - ATL ,20.12,J. Thomas TE - DEN ,0.00,M. Lynch RB - SEA ,0.00,M. Jones-Drew RB - LV ,0.30,T. Hilton WR - IND ,11.00,M. Evans WR - TB ,12.50,C. Hyde RB - SF ,2.60,A. Hurns WR - JAC ,6.80,117.50,Quinten,134.08
Dannye Van,7,K. Cousins QB - WAS ,5.48,S. Ridley RB - NE ,2.80,P. Thomas RB - NO ,2.30,K. Allen WR - LAC ,13.50,B. Cooks WR - NO ,3.10,R. Gronkowski TE - NE ,9.10,D. Brown RB - LAC ,5.40,M. Crosby K - GB ,10.00,Panthers DEF ,-4.00,A. Green WR - CIN ,0.00,T. Brady QB - NE ,4.36,L. Fitzgerald WR - ARI ,0.00,R. White WR - ATL ,13.30,J. Gordon WR - CLE ,0.00,A. Ellington RB - ARI ,0.00,Z. Stacy RB - STL ,0.00,Patriots DEF ,-2.00,47.68,Jeff,122.80
Tilly,5,M. Stafford QB - DET ,26.52,A. Foster RB - HOU ,6.10,K. Davis RB - KC ,11.90,D. Hopkins WR - HOU ,12.40,K. Benjamin WR - CAR ,13.60,M. Bennett TE - CHI ,13.40,D. Jackson WR - WAS ,0.90,A. Vinatieri K - IND ,11.00,Chargers DEF ,10.00,E. Decker WR - NYJ ,10.80,W. Welker WR - DEN ,0.00,P. Rivers QB - LAC ,27.08,F. Gore RB - SF ,23.40,D. Sproles RB - PHI ,0.60,V. Cruz WR - NYG ,10.80,T. Richardson RB - IND ,15.90,Broncos DEF ,0.00,105.82,the old man,99.46
LeMar,8,C. Newton QB - CAR ,12.58,L. McCoy RB - PHI ,1.70,S. Vereen RB - NE ,6.70,V. Jackson WR - TB ,9.20,A. Jeffery WR - CHI ,11.10,A. Gates TE - LAC ,3.00,E. Lacy RB - GB ,11.90,J. Tucker K - BAL ,8.00,Vikings DEF ,4.00,J. Bell RB - DET ,3.90,C. Spiller RB - BUF ,8.40,A. Dalton QB - CIN ,0.00,A. Johnson WR - HOU ,5.10,J. Witten TE - DAL ,6.10,K. Wright WR - TEN ,3.50,C. Patterson WR - MIN ,3.80,B. Sankey RB - TEN ,11.70,68.18,bob,109.82
Quinten,4,A. Rodgers QB - GB ,28.88,R. Jennings RB - NYG ,5.20,D. Martin RB - TB ,11.60,B. Marshall WR - CHI ,7.90,S. Smith WR - BAL ,25.90,V. Davis TE - SF ,0.80,J. Nelson WR - GB ,22.80,N. Novak K - LAC ,15.00,Chiefs DEF ,16.00,P. Harvin WR - NYJ ,0.00,J. Edelman WR - NE ,2.30,C. Shorts WR - JAC ,2.50,G. Olsen TE - CAR ,3.00,M. Colston WR - NO ,5.00,A. Peterson RB - MIN ,0.00,R. Wilson QB - SEA ,0.00,T. Williams WR - DAL ,19.70,134.08,Will,117.50
bob,3,C. Kaepernick QB - SF ,20.52,D. Murray RB - DAL ,27.50,L. Bell RB - PIT ,10.90,D. Bryant WR - DAL ,10.40,A. Boldin WR - SF ,6.20,O. Daniels TE - BAL ,4.30,M. Asiata RB - MIN ,28.00,D. Carpenter K - BUF ,5.00,Bears DEF ,-3.00,D. Thomas WR - DEN ,0.00,D. Walker TE - TEN ,14.40,F. Jackson RB - BUF ,8.50,R. Bush RB - DET ,6.50,J. Jones WR - LV ,8.30,C. Ivory RB - NYJ ,10.00,N. Foles QB - PHI ,3.90,Bengals DEF ,0.00,109.82,LeMar,68.18
the old man,1,B. Roethlisberger QB - PIT ,22.36,A. Bradshaw RB - IND ,11.20,A. Morris RB - WAS ,15.00,C. Johnson WR - DET ,1.20,R. Wayne WR - IND ,17.90,J. Graham TE - NO ,12.60,S. Jackson RB - ATL ,6.20,D. Bailey K - DAL ,10.00,Steelers DEF ,3.00,C. Johnson RB - NYJ ,12.10,J. Forsett RB - BAL ,15.70,H. Nicks WR - IND ,1.20,E. Sanders WR - DEN ,0.00,P. Manning QB - DEN ,0.00,G. Bernard RB - CIN ,0.00,S. Watkins WR - BUF ,9.00,T. West RB - CLE ,0.00,99.46,Tilly,105.82
Jeff,6,D. Brees QB - NO ,20.20,M. Forte RB - CHI ,17.10,J. Charles RB - KC ,28.80,P. Garcon WR - WAS ,2.80,R. Cobb WR - GB ,23.30,Z. Ertz TE - PHI ,2.30,M. Crabtree WR - SF ,4.30,S. Hauschka K - SEA ,0.00,Eagles DEF ,24.00,B. Tate RB - PIT ,0.00,G. Tate WR - DET ,11.60,J. Cameron TE - CLE ,0.00,J. Cutler QB - CHI ,17.14,M. Wallace WR - MIA ,9.50,M. Floyd WR - ARI ,0.00,M. Ball RB - DEN ,0.00,Seahawks DEF ,0.00,122.80,Dannye Van,47.68
