Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Will,3,M. Ryan QB - ATL ,15.66,M. Lynch RB - SEA ,40.30,L. Miller RB - MIA ,0.60,J. Maclin WR - PHI ,3.80,A. Brown WR - PIT ,3.40,J. Thomas TE - DEN ,18.30,J. Jones WR - ATL ,11.90,D. Carpenter K - BUF ,7.00,Cardinals DEF ,25.00,T. Hilton WR - IND ,0.00,A. Luck QB - IND ,0.00,B. Rainey RB - TB ,5.60,M. Evans WR - TB ,18.50,C. Hyde RB - SF ,9.60,A. Hurns WR - JAC ,0.90,S. Gostkowski K - NE ,0.00,Texans DEF ,0.00,125.96,LeMar,64.14
Dannye Van,4,R. Tannehill QB - MIA ,10.28,R. Hillman RB - DEN ,2.20,A. Ellington RB - ARI ,10.20,A. Green WR - CIN ,2.30,L. Fitzgerald WR - ARI ,11.20,O. Daniels TE - BAL ,2.00,R. White WR - ATL ,13.20,B. McManus K - DEN ,11.00,Steelers DEF ,5.00,R. Gronkowski TE - NE ,0.00,T. Brady QB - NE ,0.00,R. Bush RB - DET ,2.50,B. Brown RB - BUF ,8.00,J. Gordon WR - CLE ,0.00,K. Allen WR - LAC ,0.00,J. McKinnon RB - MIN ,0.00,Patriots DEF ,0.00,67.38,bob,103.94
Tilly,6,J. Cutler QB - CHI ,8.88,B. Tate RB - PIT ,12.10,F. Gore RB - SF ,14.30,E. Decker WR - NYJ ,2.40,K. Benjamin WR - CAR ,19.00,H. Miller TE - PIT ,2.90,D. Sproles RB - PHI ,8.10,G. Gano K - CAR ,3.00,Broncos DEF ,7.00,M. Bennett TE - CHI ,4.50,D. Jackson WR - WAS ,0.00,A. Foster RB - HOU ,0.00,B. LaFell WR - NE ,0.00,W. Welker WR - DEN ,2.40,P. Rivers QB - LAC ,0.00,T. Richardson RB - IND ,0.00,D. Hopkins WR - HOU ,0.00,77.68,Quinten,98.88
LeMar,8,C. Newton QB - CAR ,12.84,D. McFadden RB - LV ,3.60,L. McCoy RB - PHI ,7.70,V. Jackson WR - TB ,7.50,A. Jeffery WR - CHI ,7.10,L. Donnell TE - NYG ,2.60,E. Lacy RB - GB ,17.80,J. Tucker K - BAL ,3.00,Bengals DEF ,2.00,J. Bell RB - DET ,8.10,S. Vereen RB - NE ,0.00,A. Gates TE - LAC ,0.00,A. Johnson WR - HOU ,0.00,J. Witten TE - DAL ,9.30,B. Roethlisberger QB - PIT ,13.72,C. Patterson WR - MIN ,0.00,B. Sankey RB - TEN ,7.40,64.14,Will,125.96
Quinten,7,R. Wilson QB - SEA ,19.58,S. Jackson RB - ATL ,15.50,D. Martin RB - TB ,0.00,J. Nelson WR - GB ,27.20,T. Williams WR - DAL ,0.00,G. Olsen TE - CAR ,11.90,S. Smith WR - BAL ,1.70,M. Crosby K - GB ,15.00,49ers DEF ,8.00,R. Jennings RB - NYG ,0.00,P. Harvin WR - NYJ ,5.60,B. Marshall WR - CHI ,17.20,A. Rodgers QB - GB ,36.60,A. Peterson RB - MIN ,0.00,D. Allen TE - IND ,0.00,Z. Ertz TE - PHI ,1.70,Colts DEF ,0.00,98.88,Tilly,77.68
bob,2,C. Palmer QB - ARI ,7.74,D. Murray RB - DAL ,13.10,L. Bell RB - PIT ,6.90,D. Bryant WR - DAL ,27.80,D. Thomas WR - DEN ,10.80,D. Walker TE - TEN ,3.70,M. Ingram RB - NO ,13.90,C. Parkey K - PHI ,9.00,Cowboys DEF ,11.00,E. Royal WR - LAC ,0.00,M. Stafford QB - DET ,17.10,F. Jackson RB - BUF ,4.90,C. Ivory RB - NYJ ,5.10,M. Sanu WR - CIN ,2.00,T. Mason RB - STL ,8.10,M. Bryant WR - PIT ,20.30,Bills DEF ,9.00,103.94,Dannye Van,67.38
the old man,1,P. Manning QB - DEN ,29.60,J. Forsett RB - BAL ,23.20,J. Stewart RB - CAR ,11.90,E. Sanders WR - DEN ,19.20,S. Watkins WR - BUF ,2.70,J. Graham TE - NO ,19.60,C. Johnson WR - DET ,17.30,D. Bailey K - DAL ,9.00,Lions DEF ,8.00,C. Johnson RB - NYJ ,3.50,A. Smith RB - ATL ,0.30,A. Bradshaw RB - IND ,0.00,R. Wayne WR - IND ,0.00,A. Morris RB - WAS ,0.00,G. Bernard RB - CIN ,0.00,A. Williams RB - NYG ,9.80,D. Moncrief WR - IND ,0.00,140.50,Jeff,87.38
Jeff,5,D. Brees QB - NO ,18.38,M. Forte RB - CHI ,8.10,J. Charles RB - KC ,17.80,G. Tate WR - DET ,10.90,R. Cobb WR - GB ,11.20,T. Kelce TE - KC ,1.90,J. Hill RB - CIN ,4.10,S. Hauschka K - SEA ,8.00,Seahawks DEF ,7.00,P. Garcon WR - WAS ,0.00,M. Crabtree WR - SF ,6.20,A. Boldin WR - SF ,15.50,M. Wallace WR - MIA ,11.10,M. Floyd WR - ARI ,1.10,D. Robinson RB - JAC ,17.00,M. Ball RB - DEN ,0.00,O. Beckham WR - NYG ,11.90,87.38,the old man,140.50
