Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Will,1,A. Luck QB - IND ,32.30,M. Lynch RB - SEA ,24.80,K. Robinson RB - NO ,6.90,J. Jones WR - ATL ,28.10,A. Brown WR - PIT ,21.00,J. Thomas TE - DEN ,7.70,J. Maclin WR - PHI ,21.40,S. Gostkowski K - NE ,10.00,Texans DEF ,2.00,D. McFadden RB - LV ,6.50,M. Ryan QB - ATL ,23.64,C. Clay TE - MIA ,2.10,D. Bowe WR - KC ,3.20,T. Hilton WR - IND ,8.00,M. Evans WR - TB ,5.20,C. Hyde RB - SF ,7.10,A. Hurns WR - JAC ,12.30,154.20,LeMar,54.20
Dannye Van,7,K. Cousins QB - WAS ,27.58,S. Ridley RB - NE ,6.10,A. Ellington RB - ARI ,7.50,A. Green WR - CIN ,10.20,K. Allen WR - LAC ,1.70,R. Gronkowski TE - NE ,10.40,B. Rainey RB - TB ,6.50,M. Crosby K - GB ,1.00,Panthers DEF ,-3.00,T. Brady QB - NE ,12.66,L. Fitzgerald WR - ARI ,1.40,R. White WR - ATL ,0.00,P. Thomas RB - NO ,11.10,J. Gordon WR - CLE ,0.00,Z. Stacy RB - STL ,12.10,B. Cooks WR - NO ,7.40,Patriots DEF ,6.00,67.98,bob,103.30
Tilly,4,M. Stafford QB - DET ,4.64,A. Foster RB - HOU ,0.00,K. Davis RB - KC ,17.20,D. Hopkins WR - HOU ,11.60,K. Benjamin WR - CAR ,17.50,M. Bennett TE - CHI ,17.40,F. Gore RB - SF ,1.00,A. Vinatieri K - IND ,14.00,Broncos DEF ,7.00,D. Jackson WR - WAS ,17.70,R. Cooper WR - PHI ,3.40,E. Decker WR - NYJ ,1.90,W. Welker WR - DEN ,6.00,P. Rivers QB - LAC ,19.14,D. Sproles RB - PHI ,3.00,T. Richardson RB - IND ,8.00,Colts DEF ,17.00,90.34,Quinten,60.78
LeMar,8,C. Newton QB - CAR ,12.70,L. McCoy RB - PHI ,2.20,S. Vereen RB - NE ,3.70,V. Jackson WR - TB ,7.50,A. Jeffery WR - CHI ,11.80,A. Gates TE - LAC ,0.80,E. Lacy RB - GB ,2.50,J. Tucker K - BAL ,11.00,Vikings DEF ,2.00,J. Bell RB - DET ,3.30,C. Spiller RB - BUF ,6.20,A. Dalton QB - CIN ,12.86,A. Johnson WR - HOU ,2.40,J. Witten TE - DAL ,4.90,K. Wright WR - TEN ,4.40,C. Patterson WR - MIN ,5.40,B. Sankey RB - TEN ,7.00,54.20,Will,154.20
Quinten,5,A. Rodgers QB - GB ,10.48,R. Jennings RB - NYG ,23.60,D. Martin RB - TB ,0.00,P. Harvin WR - NYJ ,4.20,B. Marshall WR - CHI ,0.60,V. Davis TE - SF ,0.00,J. Nelson WR - GB ,5.90,N. Novak K - LAC ,8.00,Chiefs DEF ,8.00,J. Edelman WR - NE ,8.90,C. Shorts WR - JAC ,9.50,G. Olsen TE - CAR ,12.90,M. Colston WR - NO ,8.50,S. Smith WR - BAL ,10.10,A. Peterson RB - MIN ,0.00,R. Wilson QB - SEA ,22.02,T. Williams WR - DAL ,9.20,60.78,Tilly,90.34
bob,3,N. Foles QB - PHI ,26.20,D. Murray RB - DAL ,17.10,L. Bell RB - PIT ,15.70,D. Bryant WR - DAL ,14.90,D. Thomas WR - DEN ,5.10,D. Pitta TE - BAL ,1.20,M. Asiata RB - MIN ,7.10,D. Carpenter K - BUF ,4.00,Bengals DEF ,12.00,C. Kaepernick QB - SF ,19.20,D. Walker TE - TEN ,5.40,A. Boldin WR - SF ,3.60,S. Jackson RB - ATL ,11.40,F. Jackson RB - BUF ,17.20,R. Bush RB - DET ,15.90,J. Jones WR - LV ,4.30,C. Ivory RB - NYJ ,9.60,103.30,Dannye Van,67.98
the old man,2,P. Manning QB - DEN ,20.02,A. Morris RB - WAS ,7.70,G. Bernard RB - CIN ,17.40,E. Sanders WR - DEN ,14.90,C. Johnson WR - DET ,8.20,J. Graham TE - NO ,5.40,T. West RB - CLE ,10.10,D. Bailey K - DAL ,10.00,Eagles DEF ,7.00,C. Johnson RB - NYJ ,3.40,J. Forsett RB - BAL ,6.50,D. Woodhead RB - LAC ,0.10,H. Nicks WR - IND ,11.00,A. Bradshaw RB - IND ,14.30,R. Wayne WR - IND ,6.20,T. Austin WR - STL ,0.00,S. Watkins WR - BUF ,1.90,100.72,Jeff,79.92
Jeff,6,D. Brees QB - NO ,19.52,M. Forte RB - CHI ,7.60,M. Ball RB - DEN ,2.40,P. Garcon WR - WAS ,19.80,R. Cobb WR - GB ,2.90,J. Cameron TE - CLE ,2.30,M. Floyd WR - ARI ,11.40,S. Hauschka K - SEA ,8.00,Seahawks DEF ,6.00,J. Charles RB - KC ,0.00,M. Crabtree WR - SF ,14.40,B. Tate RB - PIT ,0.00,G. Tate WR - DET ,5.10,K. Rudolph TE - MIN ,2.70,J. Cutler QB - CHI ,16.40,M. Wallace WR - MIA ,8.60,Bills DEF ,3.00,79.92,the old man,100.72
