Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Will,1,A. Luck QB - IND ,20.68,M. Lynch RB - SEA ,17.70,K. Robinson RB - NO ,15.70,J. Jones WR - ATL ,10.50,A. Brown WR - PIT ,8.40,J. Thomas TE - DEN ,18.60,J. Maclin WR - PHI ,13.60,S. Gostkowski K - NE ,19.00,Texans DEF ,8.00,M. Ryan QB - ATL ,14.64,N. Paul TE - WAS ,0.60,M. Jones-Drew RB - LV ,0.00,T. Hilton WR - IND ,9.00,L. Miller RB - MIA ,0.00,M. Evans WR - TB ,0.00,C. Hyde RB - SF ,4.30,A. Hurns WR - JAC ,2.60,132.18,bob,108.58
Dannye Van,6,K. Cousins QB - WAS ,19.72,A. Ellington RB - ARI ,26.40,Z. Stacy RB - STL ,5.80,K. Allen WR - LAC ,2.50,B. Cooks WR - NO ,7.10,R. Gronkowski TE - NE ,16.00,R. White WR - ATL ,2.60,M. Crosby K - GB ,6.00,Panthers DEF ,18.00,A. Green WR - CIN ,12.10,T. Brady QB - NE ,20.98,L. Fitzgerald WR - ARI ,5.70,D. Brown RB - LAC ,3.00,J. Gordon WR - CLE ,0.00,T. Kelce TE - KC ,7.50,J. McKinnon RB - MIN ,4.60,Patriots DEF ,14.00,104.12,Tilly,59.42
Tilly,7,P. Rivers QB - LAC ,21.82,F. Gore RB - SF ,10.80,D. Sproles RB - PHI ,5.10,E. Decker WR - NYJ ,0.00,V. Cruz WR - NYG ,2.20,M. Bennett TE - CHI ,1.70,W. Welker WR - DEN ,5.80,A. Vinatieri K - IND ,8.00,Broncos DEF ,4.00,D. Jackson WR - WAS ,21.70,A. Foster RB - HOU ,29.20,M. Stafford QB - DET ,12.04,T. Richardson RB - IND ,4.70,D. Hopkins WR - HOU ,6.30,K. Davis RB - KC ,0.60,K. Benjamin WR - CAR ,1.80,Chargers DEF ,16.00,59.42,Dannye Van,104.12
LeMar,8,C. Newton QB - CAR ,15.10,L. McCoy RB - PHI ,6.60,C. Spiller RB - BUF ,3.30,A. Jeffery WR - CHI ,15.70,C. Patterson WR - MIN ,0.80,A. Gates TE - LAC ,18.00,E. Lacy RB - GB ,25.20,J. Tucker K - BAL ,9.00,49ers DEF ,3.00,J. Bell RB - DET ,0.00,S. Vereen RB - NE ,10.80,A. Johnson WR - HOU ,5.80,J. Witten TE - DAL ,5.90,E. Manning QB - NYG ,15.70,V. Jackson WR - TB ,14.40,L. Donnell TE - NYG ,0.00,B. Sankey RB - TEN ,2.70,96.70,Jeff,72.34
Quinten,5,A. Rodgers QB - GB ,18.24,R. Jennings RB - NYG ,7.20,D. Martin RB - TB ,7.40,B. Marshall WR - CHI ,4.40,S. Smith WR - BAL ,1.40,V. Davis TE - SF ,0.00,J. Nelson WR - GB ,12.60,N. Novak K - LAC ,7.00,Chiefs DEF ,3.00,P. Harvin WR - NYJ ,3.40,J. Edelman WR - NE ,3.50,C. Shorts WR - JAC ,0.00,G. Olsen TE - CAR ,19.20,M. Colston WR - NO ,6.30,A. Peterson RB - MIN ,0.00,R. Wilson QB - SEA ,34.24,T. Williams WR - DAL ,13.10,61.24,the old man,90.56
bob,3,N. Foles QB - PHI ,13.58,D. Murray RB - DAL ,17.20,L. Bell RB - PIT ,11.80,D. Bryant WR - DAL ,14.50,D. Thomas WR - DEN ,34.60,D. Walker TE - TEN ,4.70,M. Asiata RB - MIN ,5.20,C. Parkey K - PHI ,10.00,Bengals DEF ,-3.00,E. Royal WR - LAC ,4.00,C. Kaepernick QB - SF ,13.84,M. Ingram RB - NO ,0.00,A. Boldin WR - SF ,7.20,F. Jackson RB - BUF ,12.70,R. Bush RB - DET ,4.30,J. Jones WR - LV ,0.00,C. Ivory RB - NYJ ,4.40,108.58,Will,132.18
the old man,2,P. Manning QB - DEN ,30.96,A. Bradshaw RB - IND ,6.50,G. Bernard RB - CIN ,7.20,C. Johnson WR - DET ,0.70,R. Wayne WR - IND ,7.70,J. Graham TE - NO ,3.60,E. Sanders WR - DEN ,10.90,D. Bailey K - DAL ,8.00,Steelers DEF ,15.00,C. Johnson RB - NYJ ,0.20,J. Forsett RB - BAL ,15.70,H. Nicks WR - IND ,2.90,B. Roethlisberger QB - PIT ,12.72,B. Quick WR - STL ,20.70,A. Morris RB - WAS ,2.70,S. Watkins WR - BUF ,8.70,T. West RB - CLE ,3.10,90.56,Quinten,61.24
Jeff,4,D. Brees QB - NO ,16.74,M. Forte RB - CHI ,20.60,J. Charles RB - KC ,8.40,M. Crabtree WR - SF ,1.60,R. Cobb WR - GB ,9.40,Z. Ertz TE - PHI ,3.90,M. Floyd WR - ARI ,0.70,S. Hauschka K - SEA ,9.00,Seahawks DEF ,2.00,P. Garcon WR - WAS ,2.30,B. Tate RB - PIT ,12.20,G. Tate WR - DET ,19.40,J. Cameron TE - CLE ,3.30,J. Cutler QB - CHI ,21.76,M. Wallace WR - MIA ,0.00,M. Ball RB - DEN ,1.80,Eagles DEF ,21.00,72.34,LeMar,96.70
