Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Will,8,A. Luck QB - IND ,24.92,C. Johnson RB - TEN ,7.00,M. Lynch RB - SEA ,5.20,J. Jones WR - ATL ,11.60,M. Williams WR - TB ,11.20,T. Gonzalez TE - ATL ,9.60,L. Miller RB - MIA ,1.00,M. Bryant K - ATL ,5.00,Cardinals DEF ,10.00,B. Green-Ellis RB - CIN ,8.90,J. Freeman QB - MIN ,10.40,H. Nicks WR - NYG ,11.40,B. Tate RB - HOU ,6.20,E. Decker WR - DEN ,3.20,R. Cobb WR - GB ,17.40,H. Miller TE - PIT ,0.00,M. Floyd WR - ARI ,8.20,85.52,Dannye Van,142.06
Dannye Van,1,M. Ryan QB - ATL ,19.36,A. Foster RB - HOU ,9.00,S. Jackson RB - ATL ,12.20,A. Green WR - CIN ,28.20,V. Jackson WR - TB ,15.40,J. Cameron TE - CLE ,16.80,R. Bush RB - DET ,25.10,S. Hauschka K - SEA ,6.00,Buccaneers DEF ,10.00,S. Johnson WR - BUF ,9.90,R. Mathews RB - LAC ,11.50,C. Kaepernick QB - SF ,30.68,K. Rudolph TE - MIN ,2.70,T. Smith WR - BAL ,9.20,K. Thompkins WR - NE ,4.20,T. Austin WR - STL ,4.00,49ers DEF ,5.00,142.06,Will,85.52
Tilly,4,T. Brady QB - NE ,15.12,D. Martin RB - TB ,10.40,A. Morris RB - WAS ,9.40,R. Wayne WR - IND ,15.60,W. Welker WR - DEN ,16.70,J. Finley TE - GB ,11.60,M. Jones-Drew RB - JAX ,4.50,P. Dawson K - SF ,10.00,Patriots DEF ,5.00,D. Jackson WR - PHI ,16.40,B. Hartline WR - MIA ,17.40,M. Vick QB - PHI ,25.52,A. Boldin WR - SF ,26.80,J. Jones WR - GB ,0.00,D. Richardson RB - STL ,9.60,L. Bell RB - PIT ,0.00,Ravens DEF ,3.00,98.32,Jeff,94.28
LeMar,3,R. Griffin QB - WAS ,19.56,R. Rice RB - BAL ,13.10,L. McCoy RB - PHI ,24.90,P. Garcon WR - WAS ,6.40,L. Fitzgerald WR - ARI ,20.00,J. Witten TE - DAL ,19.00,E. Lacy RB - GB ,11.20,J. Tucker K - BAL ,9.00,Packers DEF ,1.00,R. Mendenhall RB - ARI ,6.40,K. Britt WR - TEN ,1.50,D. Moore WR - LV ,10.30,D. Williams RB - CAR ,8.00,T. Romo QB - DAL ,16.42,M. Ball RB - DEN ,2.40,K. Stills WR - NO ,8.60,T. Kelce TE - KC ,0.00,124.16,the old man,91.68
Quinten,2,A. Rodgers QB - GB ,24.62,F. Gore RB - SF ,12.50,A. Peterson RB - MIN ,29.10,B. Marshall WR - CHI ,16.40,A. Johnson WR - HOU ,14.60,G. Olsen TE - CAR ,5.60,D. McFadden RB - LV ,12.60,S. Gostkowski K - NE ,11.00,Seahawks DEF ,9.00,R. Gronkowski TE - NE ,0.00,S. Rice WR - SEA ,3.50,M. Austin WR - DAL ,7.20,S. Smith WR - CAR ,11.10,L. Moore WR - NO ,2.30,I. Pead RB - STL ,0.00,R. Wilson QB - SEA ,15.50,Rams DEF ,9.00,135.42,bob,105.70
bob,5,C. Newton QB - CAR ,12.80,J. Charles RB - KC ,16.00,S. Ridley RB - NE ,2.60,D. Thomas WR - DEN ,28.10,R. White WR - ATL ,1.90,V. Davis TE - SF ,21.80,D. Murray RB - DAL ,12.50,B. Walsh K - MIN ,8.00,Bengals DEF ,2.00,J. Nelson WR - GB ,19.00,A. Dalton QB - CIN ,15.48,M. Ingram RB - NO ,1.10,O. Daniels TE - HOU ,18.70,D. Sproles RB - NO ,11.00,A. Brown WR - PIT ,7.50,J. Blackmon WR - JAX ,0.00,Broncos DEF ,8.00,105.70,Quinten,135.42
the old man,7,P. Manning QB - DEN ,46.28,C. Spiller RB - BUF ,3.50,A. Bradshaw RB - IND ,3.30,D. Amendola WR - NE ,10.40,C. Johnson WR - DET ,3.70,J. Graham TE - NO ,10.50,T. Hilton WR - IND ,2.00,A. Vinatieri K - IND ,3.00,Texans DEF ,9.00,D. Heyward-Bey WR - IND ,3.30,G. Tate WR - SEA ,5.10,D. Bowe WR - KC ,3.00,F. Jackson RB - BUF ,10.80,M. Wallace WR - MIA ,1.50,C. Ivory RB - NYJ ,1.50,V. Ballard RB - IND ,5.80,D. Hopkins WR - HOU ,6.60,91.68,LeMar,124.16
Jeff,6,D. Brees QB - NO ,20.48,M. Forte RB - CHI ,15.10,T. Richardson RB - IND ,7.70,D. Bryant WR - DAL ,2.20,M. Colston WR - NO ,12.80,J. Cook TE - STL ,24.10,D. Wilson RB - NYG ,-2.10,M. Prater K - DEN ,7.00,Bears DEF ,7.00,M. Stafford QB - DET ,19.98,C. Shorts WR - JAX ,4.00,S. Vereen RB - NE ,15.90,G. Jennings WR - MIN ,3.30,A. Gates TE - LAC ,4.90,V. Cruz WR - NYG ,29.80,J. Gordon WR - CLE ,0.00,G. Bernard RB - CIN ,3.00,94.28,Tilly,98.32
