Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Will,4,A. Smith QB - KC ,14.18,C. Johnson RB - TEN ,9.50,Z. Stacy RB - STL ,8.20,H. Douglas WR - ATL ,2.00,V. Jackson WR - TB ,13.00,M. Bennett TE - CHI ,4.30,M. Lynch RB - SEA ,13.20,S. Gostkowski K - NE ,9.00,Cowboys DEF ,-3.00,C. Kaepernick QB - SF ,12.10,R. Cobb WR - GB ,0.00,J. Jones WR - ATL ,0.00,T. Gonzalez TE - ATL ,8.50,M. Wallace WR - MIA ,1.90,A. Luck QB - IND ,32.24,R. Randle WR - NYG ,2.70,J. Reed TE - WAS ,0.00,70.38,Tilly,77.12
Dannye Van,3,J. McCown QB - CHI ,39.52,B. Tate RB - HOU ,5.60,S. Jackson RB - ATL ,8.10,A. Green WR - CIN ,13.20,K. Allen WR - LAC ,17.90,J. Cameron TE - CLE ,18.10,R. Bush RB - DET ,0.00,A. Vinatieri K - IND ,4.00,Bengals DEF ,-1.00,M. Ryan QB - ATL ,12.24,D. Amendola WR - NE ,9.60,E. Decker WR - DEN ,17.70,B. Powell RB - NYJ ,3.80,C. Shorts WR - JAX ,7.30,P. Rivers QB - LAC ,19.96,A. Ellington RB - ARI ,12.30,S. Hauschka K - SEA ,5.00,105.32,the old man,103.08
Tilly,5,T. Brady QB - NE ,22.82,A. Morris RB - WAS ,3.10,L. Bell RB - PIT ,8.00,D. Jackson WR - PHI ,10.90,W. Welker WR - DEN ,12.10,J. Cook TE - STL ,4.90,A. Boldin WR - SF ,9.30,D. Akers K - DET ,0.00,Packers DEF ,6.00,M. Stafford QB - DET ,5.94,B. Hartline WR - MIA ,11.10,M. Jones-Drew RB - JAX ,12.30,D. Sproles RB - NO ,6.10,J. Jones WR - GB ,1.90,J. Boykin WR - GB ,2.30,K. Wright WR - TEN ,1.70,R. Streater WR - LV ,19.00,77.12,Will,70.38
LeMar,8,C. Newton QB - CAR ,15.20,R. Rice RB - BAL ,10.90,L. McCoy RB - PHI ,34.10,L. Fitzgerald WR - ARI ,15.60,A. Jeffery WR - CHI ,13.70,J. Witten TE - DAL ,7.00,E. Lacy RB - GB ,15.00,S. Janikowski K - LV ,9.00,Dolphins DEF ,5.00,P. Garcon WR - WAS ,3.70,G. Tate WR - SEA ,6.50,D. Moore WR - LV ,0.00,D. Walker TE - TEN ,0.00,T. Romo QB - DAL ,16.06,L. Miller RB - MIA ,3.30,M. Ball RB - DEN ,14.70,Chiefs DEF ,26.00,125.50,-,-
Quinten,1,R. Wilson QB - SEA ,10.16,F. Gore RB - SF ,11.00,A. Peterson RB - MIN ,1.70,B. Marshall WR - CHI ,12.00,A. Johnson WR - HOU ,15.40,R. Gronkowski TE - NE ,3.20,D. Bowe WR - KC ,13.00,R. Gould K - CHI ,13.00,Broncos DEF ,5.00,D. McFadden RB - LV ,0.00,J. Flacco QB - BAL ,20.00,D. Woodhead RB - LAC ,15.40,G. Jennings WR - MIN ,5.30,S. Smith WR - CAR ,10.90,A. Rodgers QB - GB ,0.00,C. Fleener TE - IND ,3.10,Seahawks DEF ,5.00,84.46,-,-
bob,2,N. Foles QB - PHI ,19.46,R. Mendenhall RB - ARI ,10.10,D. Murray RB - DAL ,15.50,D. Bryant WR - DAL ,7.20,T. Smith WR - BAL ,3.10,V. Davis TE - SF ,8.10,G. Bernard RB - CIN ,14.80,M. Crosby K - GB ,10.00,Panthers DEF ,1.00,J. Nelson WR - GB ,8.50,M. Crabtree WR - SF ,4.00,R. Jennings RB - LV ,0.00,D. Thomas WR - DEN ,14.80,S. Vereen RB - NE ,22.20,G. Olsen TE - CAR ,4.00,D. Brown RB - IND ,2.90,C. Ivory RB - NYJ ,13.60,89.26,-,-
the old man,6,P. Manning QB - DEN ,31.78,K. Moreno RB - DEN ,16.90,B. Rainey RB - TB ,18.30,C. Johnson WR - DET ,5.20,T. Hilton WR - IND ,0.70,J. Graham TE - NO ,17.80,N. Washington WR - TEN ,2.40,J. Scobee K - JAX ,9.00,Patriots DEF ,1.00,C. Ogbonnaya RB - CLE ,3.40,R. Mathews RB - LAC ,19.50,J. Thomas TE - DEN ,9.50,F. Jackson RB - BUF ,3.80,P. Thomas RB - NO ,2.80,T. Richardson RB - IND ,8.80,R. Griffin QB - WAS ,11.46,49ers DEF ,5.00,103.08,Dannye Van,105.32
Jeff,7,D. Brees QB - NO ,28.82,M. Forte RB - CHI ,23.50,J. Charles RB - KC ,27.80,A. Brown WR - PIT ,19.80,J. Gordon WR - CLE ,24.50,A. Gates TE - LAC ,5.00,V. Cruz WR - NYG ,4.20,M. Prater K - DEN ,17.00,Bears DEF ,1.00,P. Harvin WR - SEA ,0.00,J. Bell RB - DET ,16.70,C. Spiller RB - BUF ,4.80,R. Cooper WR - PHI ,9.40,M. Colston WR - NO ,24.50,D. Williams RB - CAR ,6.30,R. White WR - ATL ,7.40,A. Brown RB - NYG ,7.60,151.62,-,-
