Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Will,6,C. Kaepernick QB - SF ,27.96,M. Lynch RB - SEA ,2.70,Z. Stacy RB - STL ,12.90,H. Douglas WR - ATL ,12.10,R. Randle WR - NYG ,0.00,J. Reed TE - WAS ,9.00,B. Green-Ellis RB - CIN ,3.30,D. Bailey K - DAL ,16.00,Cowboys DEF ,8.00,C. Johnson RB - TEN ,0.00,B. Tate RB - HOU ,0.00,R. Cobb WR - GB ,0.00,J. Jones WR - ATL ,0.00,T. Gonzalez TE - ATL ,2.60,P. Rivers QB - LAC ,0.00,H. Miller TE - PIT ,1.90,A. Luck QB - IND ,0.00,91.96,Dannye Van,93.44
Dannye Van,1,M. Ryan QB - ATL ,9.34,R. Bush RB - DET ,16.20,A. Ellington RB - ARI ,22.20,A. Green WR - CIN ,11.50,V. Jackson WR - TB ,7.90,J. Cameron TE - CLE ,8.10,E. Decker WR - DEN ,4.20,S. Hauschka K - SEA ,2.00,49ers DEF ,12.00,A. Foster RB - HOU ,0.00,R. Mathews RB - LAC ,0.00,C. Shorts WR - JAX ,7.40,T. Smith WR - BAL ,0.00,S. Jackson RB - ATL ,1.30,T. Austin WR - STL ,0.90,J. Randle RB - DAL ,4.40,Bengals DEF ,24.00,93.44,Will,91.96
Tilly,3,M. Stafford QB - DET ,26.72,A. Morris RB - WAS ,15.30,L. Bell RB - PIT ,11.10,A. Boldin WR - SF ,5.60,W. Welker WR - DEN ,14.10,C. Clay TE - MIA ,3.80,D. Jackson WR - PHI ,6.30,P. Dawson K - SF ,6.00,Packers DEF ,8.00,B. Hartline WR - MIA ,3.70,M. Jones-Drew RB - JAX ,12.20,T. Brady QB - NE ,7.14,D. Sproles RB - NO ,0.00,J. Jones WR - GB ,0.00,J. Boykin WR - GB ,8.90,D. Richardson RB - STL ,4.70,Colts DEF ,0.00,96.92,Jeff,105.48
LeMar,5,C. Newton QB - CAR ,27.84,L. McCoy RB - PHI ,6.50,L. Miller RB - MIA ,11.20,B. LaFell WR - CAR ,2.30,D. Moore WR - LV ,3.20,J. Witten TE - DAL ,1.50,G. Tate WR - SEA ,21.30,S. Janikowski K - LV ,3.00,Chiefs DEF ,4.00,R. Rice RB - BAL ,0.00,P. Garcon WR - WAS ,4.60,D. Williams RB - CAR ,11.10,T. Romo QB - DAL ,20.84,L. Fitzgerald WR - ARI ,10.80,A. Jeffery WR - CHI ,0.00,M. Ball RB - DEN ,9.80,E. Lacy RB - GB ,17.20,80.84,the old man,114.06
Quinten,2,A. Rodgers QB - GB ,22.50,F. Gore RB - SF ,17.70,A. Peterson RB - MIN ,14.30,S. Rice WR - SEA ,0.00,G. Jennings WR - MIN ,0.90,R. Gronkowski TE - NE ,2.70,D. McFadden RB - LV ,19.80,S. Gostkowski K - NE ,9.00,Seahawks DEF ,11.00,D. Woodhead RB - LAC ,0.00,B. Pettigrew TE - DET ,3.10,M. Austin WR - DAL ,0.00,B. Marshall WR - CHI ,0.00,S. Smith WR - CAR ,4.20,A. Johnson WR - HOU ,0.00,R. Wilson QB - SEA ,15.16,Rams DEF ,8.00,97.90,bob,90.20
bob,4,M. Vick QB - PHI ,-0.70,J. Charles RB - KC ,12.00,J. Rodgers RB - ATL ,1.90,J. Nelson WR - GB ,24.30,D. Thomas WR - DEN ,13.50,V. Davis TE - SF ,11.20,J. Blackmon WR - JAX ,3.00,G. Hartley K ,5.00,Broncos DEF ,20.00,A. Dalton QB - CIN ,31.00,D. Murray RB - DAL ,0.00,B. Powell RB - NYJ ,3.90,J. Snelling RB - ATL ,0.00,C. Ivory RB - NYJ ,1.10,M. Brown WR - BAL ,0.00,M. James RB - TB ,6.40,Titans DEF ,0.00,90.20,Quinten,97.90
the old man,8,P. Manning QB - DEN ,21.86,K. Moreno RB - DEN ,19.20,F. Jackson RB - BUF ,11.30,C. Johnson WR - DET ,36.90,K. Thompkins WR - NE ,0.00,J. Thomas TE - DEN ,2.90,T. Williams WR - DAL ,12.90,D. Akers K - DET ,7.00,Buccaneers DEF ,2.00,D. Amendola WR - NE ,1.50,C. Spiller RB - BUF ,0.00,J. Graham TE - NO ,15.70,S. Ridley RB - NE ,13.90,M. Wallace WR - MIA ,4.90,T. Hilton WR - IND ,0.00,K. Allen WR - LAC ,0.00,D. Hopkins WR - HOU ,0.00,114.06,LeMar,80.84
Jeff,7,D. Brees QB - NO ,33.18,R. Helu RB - WAS ,2.50,G. Bernard RB - CIN ,2.70,D. Bryant WR - DAL ,19.30,V. Cruz WR - NYG ,8.60,T. Wright TE - TB ,10.80,A. Brown WR - PIT ,8.40,M. Prater K - DEN ,9.00,Saints DEF ,11.00,M. Forte RB - CHI ,0.00,P. Harvin WR - SEA ,0.00,M. Colston WR - NO ,1.80,A. Gates TE - LAC ,0.00,R. White WR - ATL ,0.00,T. Richardson RB - IND ,0.00,J. Gordon WR - CLE ,19.20,Bears DEF ,0.00,105.48,Tilly,96.92
