Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Will,6,T. Brady QB - NE ,14.68,M. Forte RB - CHI ,15.50,R. Bush RB - MIA ,28.70,A. Johnson WR - HOU ,9.70,W. Welker WR - NE ,15.70,H. Miller TE - PIT ,4.50,A. Peterson RB - MIN ,9.00,D. Akers K - SF ,9.00,Vikings DEF ,15.00,S. Greene RB - NYJ ,20.00,B. Hartline WR - MIA ,1.20,A. Roberts WR - ARI ,4.40,A. Dalton QB - CIN ,7.12,D. Bowe WR - KC ,0.00,M. Jones-Drew RB - JAC ,0.00,N. Washington WR - TEN ,1.50,R. Gould K - CHI ,0.00,121.78,bob,148.58
Dannye Van,1,E. Manning QB - NYG ,10.80,R. Rice RB - BAL ,21.80,D. Murray RB - DAL ,7.10,D. Thomas WR - DEN ,16.20,C. Johnson WR - DET ,20.50,B. Myers TE - LV ,1.00,D. McFadden RB - LV ,4.80,J. Tucker K - BAL ,15.00,Patriots DEF ,8.00,M. Ryan QB - ATL ,29.66,R. Gronkowski TE - NE ,0.00,S. Ridley RB - NE ,8.40,M. Schaub QB - HOU ,7.12,R. White WR - ATL ,27.30,T. Richardson RB - CLE ,6.80,Bears DEF ,26.00,Bengals DEF ,20.00,105.20,LeMar,109.42
Tilly,5,P. Manning QB - DEN ,23.56,B. Green-Ellis RB - CIN ,1.40,R. Mathews RB - LAC ,0.00,J. Jones WR - ATL ,12.40,M. Colston WR - NO ,15.30,V. Davis TE - SF ,2.70,E. Decker WR - DEN ,18.50,S. Gostkowski K - NE ,11.00,49ers DEF ,-1.00,M. Bennett TE - NYG ,2.70,L. McCoy RB - PHI ,12.20,A. Hernandez TE - NE ,1.30,A. Bradshaw RB - NYG ,4.70,B. Lloyd WR - NE ,6.20,A. Luck QB - IND ,14.30,R. Griffin III QB - WAS ,14.32,Cardinals DEF ,10.00,83.86,Quinten,66.84
LeMar,2,M. Stafford QB - DET ,15.92,C. Johnson RB - TEN ,4.10,D. Martin RB - TB ,11.90,P. Garcon WR - WAS ,8.90,B. Marshall WR - CHI ,12.80,J. Graham TE - NO ,8.80,M. Lynch RB - SEA ,25.00,D. Bailey K - DAL ,7.00,Seahawks DEF ,15.00,S. Johnson WR - BUF ,2.40,J. Stewart RB - CAR ,0.00,J. Nelson WR - GB ,0.00,J. Maclin WR - PHI ,17.60,H. Nicks WR - NYG ,0.00,M. Ingram RB - NO ,12.00,T. Romo QB - DAL ,32.64,M. Floyd WR - LAC ,0.00,109.42,Dannye Van,105.20
Quinten,3,D. Brees QB - NO ,29.74,A. Foster RB - HOU ,0.90,F. Gore RB - SF ,2.80,R. Cobb WR - GB ,12.20,M. Wallace WR - PIT ,1.20,T. Gonzalez TE - ATL ,0.90,R. Wayne WR - IND ,14.10,L. Tynes K - NYG ,2.00,Texans DEF ,3.00,P. Harvin WR - MIN ,0.00,C. Newton QB - CAR ,20.80,M. Austin WR - DAL ,10.50,A. Gates TE - LAC ,10.40,M. Bush RB - CHI ,0.00,A. Green RB - GB ,0.00,G. Zuerlein K - STL ,4.00,Packers DEF ,15.00,66.84,Tilly,83.86
bob,4,A. Rodgers QB - GB ,32.78,K. Moreno RB - DEN ,12.70,C. Spiller RB - BUF ,17.30,D. Bryant WR - DAL ,34.40,A. Green WR - CIN ,9.60,J. Witten TE - DAL ,6.00,A. Morris RB - WAS ,16.80,M. Bryant K - ATL ,7.00,Broncos DEF ,12.00,J. Charles RB - KC ,27.00,M. Leshoure RB - DET ,10.60,O. Daniels TE - HOU ,2.70,M. Turner RB - ATL ,5.70,V. Jackson WR - TB ,10.80,D. Sproles RB - NO ,15.20,V. Cruz WR - NYG ,2.10,Chargers DEF ,22.00,148.58,Will,121.78
