Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Will,6,E. Manning QB - NYG ,5.98,M. Forte RB - CHI ,15.40,R. Bush RB - MIA ,4.50,D. Bowe WR - KC ,6.50,W. Welker WR - NE ,4.80,H. Miller TE - PIT ,10.60,S. Greene RB - NYJ ,10.60,D. Akers K - SF ,6.00,Vikings DEF ,-3.00,R. Rice RB - BAL ,0.00,B. Hartline WR - MIA ,4.10,A. Roberts WR - ARI ,6.50,A. Dalton QB - CIN ,0.00,M. Jones-Drew RB - JAC ,0.00,A. Johnson WR - HOU ,0.00,N. Washington WR - TEN ,6.90,A. Brown RB - NYG ,8.10,61.38,LeMar,86.58
Dannye Van,1,T. Brady QB - NE ,28.46,S. Ridley RB - NE ,18.70,A. Peterson RB - MIN ,16.70,R. White WR - ATL ,3.80,A. Brown WR - PIT ,3.80,R. Gronkowski TE - NE ,26.60,D. Thomas WR - DEN ,19.70,J. Hanson K - DET ,4.00,Bears DEF ,12.00,M. Ryan QB - ATL ,24.28,R. Jennings RB - JAC ,9.50,T. Smith WR - BAL ,0.00,C. Johnson WR - DET ,4.60,V. Davis TE - SF ,3.40,F. Jackson RB - BUF ,0.00,T. Richardson RB - CLE ,19.40,Steelers DEF ,5.00,133.76,bob,65.94
Tilly,2,R. Griffin III QB - WAS ,11.88,L. McCoy RB - PHI ,18.70,W. McGahee RB - DEN ,19.50,J. Jones WR - ATL ,19.20,M. Colston WR - NO ,6.30,M. Bennett TE - NYG ,2.90,A. Bradshaw RB - NYG ,5.80,S. Gostkowski K - NE ,9.00,49ers DEF ,13.00,B. Green-Ellis RB - CIN ,0.00,C. Spiller RB - BUF ,0.00,A. Hernandez TE - NE ,0.00,E. Decker WR - DEN ,16.30,P. Manning QB - DEN ,24.60,B. Lloyd WR - NE ,14.80,A. Luck QB - IND ,16.68,Cardinals DEF ,4.00,106.28,Quinten,74.62
LeMar,4,B. Roethlisberger QB - PIT ,21.48,C. Johnson RB - TEN ,11.70,D. Richardson RB - STL ,5.00,H. Nicks WR - NYG ,4.60,B. Marshall WR - CHI ,9.80,C. Fleener TE - IND ,2.40,M. Lynch RB - SEA ,16.60,R. Succop K - KC ,12.00,Jets DEF ,3.00,J. Nelson WR - GB ,0.00,P. Garcon WR - WAS ,0.00,J. Maclin WR - PHI ,3.30,J. Graham TE - NO ,12.30,D. Sproles RB - NO ,11.50,R. Fitzpatrick QB - BUF ,0.00,D. Martin RB - TB ,33.40,V. Ballard RB - IND ,13.10,86.58,Will,61.38
Quinten,3,D. Brees QB - NO ,14.72,F. Gore RB - SF ,6.60,A. Green RB - GB ,8.20,P. Harvin WR - MIN ,14.90,M. Wallace WR - PIT ,6.20,T. Gonzalez TE - ATL ,2.90,R. Wayne WR - IND ,9.10,G. Zuerlein K - STL ,1.00,Packers DEF ,11.00,A. Foster RB - HOU ,0.00,R. Cobb WR - GB ,8.80,C. Newton QB - CAR ,12.26,M. Austin WR - DAL ,13.30,A. Gates TE - LAC ,1.40,M. Bush RB - CHI ,0.50,L. Tynes K - NYG ,17.00,Texans DEF ,0.00,74.62,Tilly,106.28
bob,5,A. Rodgers QB - GB ,13.84,R. Mathews RB - LAC ,8.40,A. Morris RB - WAS ,5.90,J. Jones WR - GB ,7.80,V. Cruz WR - NYG ,2.30,J. Witten TE - DAL ,16.70,J. Charles RB - KC ,1.00,B. Walsh K - MIN ,7.00,Seahawks DEF ,3.00,D. McFadden RB - LV ,13.70,A. Green WR - CIN ,0.00,O. Daniels TE - HOU ,0.00,M. Turner RB - ATL ,6.40,L. Fitzgerald WR - ARI ,5.20,V. Jackson WR - TB ,4.00,M. Williams WR - TB ,12.80,Falcons DEF ,4.00,65.94,Dannye Van,133.76
