Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Will,3,M. Schaub QB - HOU ,15.88,R. Rice RB - BAL ,9.60,M. Jones-Drew RB - JAC ,8.00,A. Johnson WR - HOU ,5.60,W. Welker WR - NE ,10.90,T. Gonzalez TE - ATL ,5.10,A. Brown RB - NYG ,1.80,D. Akers K - SF ,10.00,Broncos DEF ,10.00,D. Jackson WR - PHI ,15.90,B. Pettigrew TE - DET ,6.70,M. Stafford QB - DET ,20.16,B. Tate RB - HOU ,1.40,D. Bryant WR - DAL ,12.50,D. Bowe WR - KC ,16.80,N. Washington WR - TEN ,4.30,R. Bush RB - MIA ,6.70,76.88,Quinten,89.24
Dannye Van,1,M. Ryan QB - ATL ,24.76,S. Ridley RB - NE ,22.60,A. Peterson RB - MIN ,12.20,T. Smith WR - BAL ,15.70,C. Johnson WR - DET ,5.40,R. Gronkowski TE - NE ,14.40,P. Harvin WR - MIN ,3.40,J. Hanson K - DET ,7.00,Texans DEF ,23.00,V. Davis TE - SF ,2.80,T. Brady QB - NE ,32.00,R. White WR - ATL ,28.90,F. Jackson RB - BUF ,5.90,D. Brown RB - IND ,0.00,A. Brown WR - PIT ,0.00,T. Richardson RB - CLE ,16.40,Bears DEF ,24.00,128.46,Tilly,82.42
Tilly,4,R. Griffin III QB - WAS ,22.52,B. Green-Ellis RB - CIN ,7.40,R. Williams RB - ARI ,2.60,J. Jones WR - ATL ,3.00,B. Lloyd WR - NE ,11.00,D. Pitta TE - BAL ,0.00,E. Decker WR - DEN ,13.90,S. Gostkowski K - NE ,10.00,Cardinals DEF ,12.00,L. McCoy RB - PHI ,14.00,A. Hernandez TE - NE ,0.00,A. Bradshaw RB - NYG ,7.70,M. Colston WR - NO ,21.30,P. Manning QB - DEN ,25.42,W. McGahee RB - DEN ,19.50,A. Luck QB - IND ,0.00,49ers DEF ,27.00,82.42,Dannye Van,128.46
LeMar,5,R. Fitzpatrick QB - BUF ,23.40,M. Lynch RB - SEA ,21.50,D. Martin RB - TB ,4.20,J. Nelson WR - GB ,15.30,B. Marshall WR - CHI ,19.80,J. Graham TE - NO ,7.60,J. Maclin WR - PHI ,0.70,M. Bryant K - ATL ,12.00,Lions DEF ,3.00,F. Davis TE - WAS ,7.00,C. Johnson RB - TEN ,15.70,P. Hillis RB - KC ,0.00,P. Garcon WR - WAS ,8.00,D. Amendola WR - STL ,12.10,H. Nicks WR - NYG ,0.00,B. Roethlisberger QB - PIT ,0.00,D. Sproles RB - NO ,12.40,107.50,bob,94.66
Quinten,2,D. Brees QB - NO ,29.84,M. Forte RB - CHI ,4.90,A. Foster RB - HOU ,15.40,D. Thomas WR - DEN ,8.30,M. Austin WR - DAL ,11.70,A. Gates TE - LAC ,5.90,S. Smith WR - CAR ,4.20,M. Crosby K - GB ,4.00,Seahawks DEF ,5.00,J. Finley TE - GB ,5.40,C. Newton QB - CAR ,31.20,G. Jennings WR - GB ,6.90,R. Wayne WR - IND ,0.00,T. Romo QB - DAL ,6.28,F. Gore RB - SF ,13.70,M. Bush RB - CHI ,3.70,M. Wallace WR - PIT ,0.00,89.24,Will,76.88
bob,6,A. Rodgers QB - GB ,28.06,J. Charles RB - KC ,19.10,R. Mathews RB - LAC ,8.20,S. Johnson WR - BUF ,2.30,V. Jackson WR - TB ,16.00,M. Bennett TE - NYG ,0.20,D. McFadden RB - LV ,3.80,J. Tucker K - BAL ,5.00,Ravens DEF ,12.00,K. Britt WR - TEN ,0.00,C. Spiller RB - BUF ,1.80,D. Murray RB - DAL ,8.10,A. Green WR - CIN ,17.70,M. Leshoure RB - DET ,4.30,L. Fitzgerald WR - ARI ,12.40,V. Cruz WR - NYG ,16.90,A. Morris RB - WAS ,16.90,94.66,LeMar,107.50
