Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Will,3,M. Stafford QB - DET ,12.20,R. Rice RB - BAL ,15.20,M. Jones-Drew RB - JAC ,12.70,D. Bowe WR - KC ,22.20,A. Johnson WR - HOU ,2.10,T. Gonzalez TE - ATL ,13.00,R. Bush RB - MIA ,31.70,D. Akers K - SF ,9.00,Broncos DEF ,1.00,D. Jackson WR - PHI ,11.40,B. Pettigrew TE - DET ,7.80,B. Tate RB - HOU ,21.70,D. Bryant WR - DAL ,1.70,M. Vick QB - PHI ,22.24,W. Welker WR - NE ,9.50,S. Jackson RB - STL ,5.80,M. Williams WR - TB ,11.90,119.10,Tilly,64.74
Dannye Van,2,M. Ryan QB - ATL ,18.66,S. Ridley RB - NE ,9.50,A. Peterson RB - MIN ,8.00,C. Johnson WR - DET ,9.40,R. White WR - ATL ,16.20,R. Gronkowski TE - NE ,13.50,P. Harvin WR - MIN ,11.70,J. Hanson K - DET ,13.00,Texans DEF ,9.00,S. Greene RB - NYJ ,2.30,T. Smith WR - BAL ,5.10,V. Davis TE - SF ,19.30,T. Brady QB - NE ,14.54,F. Jackson RB - BUF ,0.00,A. Brown WR - PIT ,8.80,T. Richardson RB - CLE ,26.50,Bears DEF ,9.00,108.96,LeMar,78.86
Tilly,4,P. Manning QB - DEN ,7.54,B. Green-Ellis RB - CIN ,10.50,L. McCoy RB - PHI ,12.90,J. Jones WR - ATL ,1.50,B. Lloyd WR - NE ,6.00,A. Hernandez TE - NE ,0.00,E. Decker WR - DEN ,5.30,S. Gostkowski K - NE ,16.00,Giants DEF ,5.00,R. Williams RB - ARI ,0.30,M. Colston WR - NO ,4.90,G. Jennings WR - GB ,0.00,W. McGahee RB - DEN ,24.40,C. Fleener TE - IND ,1.60,A. Luck QB - IND ,19.06,R. Griffin III QB - WAS ,30.44,49ers DEF ,5.00,64.74,Will,119.10
LeMar,6,P. Rivers QB - LAC ,22.26,M. Lynch RB - SEA ,18.20,D. Martin RB - TB ,12.60,P. Garcon WR - WAS ,0.00,B. Marshall WR - CHI ,2.40,J. Graham TE - NO ,13.10,J. Maclin WR - PHI ,8.30,N. Rackers K - WAS ,0.00,Cowboys DEF ,2.00,F. Davis TE - WAS ,1.50,C. Johnson RB - TEN ,2.80,J. Nelson WR - GB ,8.40,P. Hillis RB - KC ,7.10,H. Nicks WR - NYG ,25.90,B. LaFell WR - CAR ,11.50,E. Manning QB - NYG ,26.20,D. Sproles RB - NO ,12.80,78.86,Dannye Van,108.96
Quinten,1,D. Brees QB - NO ,19.00,M. Forte RB - CHI ,8.00,A. Foster RB - HOU ,20.70,D. Thomas WR - DEN ,13.80,R. Wayne WR - IND ,13.10,A. Gates TE - LAC ,0.00,F. Gore RB - SF ,16.50,S. Janikowski K - LV ,7.00,Jets DEF ,3.00,J. Finley TE - GB ,0.60,B. Wells RB - ARI ,6.80,C. Newton QB - CAR ,25.22,A. Bradshaw RB - NYG ,1.60,M. Austin WR - DAL ,12.30,S. Smith WR - CAR ,10.40,T. Romo QB - DAL ,11.94,M. Wallace WR - PIT ,13.40,101.10,bob,75.26
bob,5,A. Rodgers QB - GB ,10.16,D. McFadden RB - LV ,4.10,D. Murray RB - DAL ,7.50,A. Green WR - CIN ,11.80,L. Fitzgerald WR - ARI ,0.40,J. Tamme TE - DEN ,1.30,C. Spiller RB - BUF ,29.00,D. Bailey K - DAL ,1.00,Ravens DEF ,10.00,J. Charles RB - KC ,2.20,K. Ogletree WR - DAL ,3.10,R. Mathews RB - LAC ,0.00,J. Witten TE - DAL ,5.80,B. Roethlisberger QB - PIT ,19.00,V. Jackson WR - TB ,18.80,V. Cruz WR - NYG ,23.90,J. Blackmon WR - JAC ,0.00,75.26,Quinten,101.10
