Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Will,6,T. Brady QB - NE ,28.44,M. Forte RB - CHI ,11.90,R. Bush RB - MIA ,10.30,W. Welker WR - NE ,5.20,N. Washington WR - TEN ,1.50,H. Miller TE - PIT ,6.60,A. Peterson RB - MIN ,29.00,R. Gould K - CHI ,2.00,Vikings DEF ,13.00,S. Greene RB - NYJ ,13.70,B. Hartline WR - MIA ,3.40,A. Roberts WR - ARI ,3.60,A. Dalton QB - CIN ,10.24,D. Bowe WR - KC ,7.00,M. Jones-Drew RB - JAC ,0.00,A. Johnson WR - HOU ,9.50,D. Akers K - SF ,9.00,107.94,Quinten,103.46
Dannye Van,1,E. Manning QB - NYG ,22.06,R. Rice RB - BAL ,19.60,T. Richardson RB - CLE ,17.10,D. Thomas WR - DEN ,8.30,C. Johnson WR - DET ,11.80,B. Myers TE - LV ,0.70,D. Murray RB - DAL ,13.50,J. Tucker K - BAL ,4.00,Bears DEF ,4.00,D. McFadden RB - LV ,12.40,M. Ryan QB - ATL ,19.68,D. Amendola WR - STL ,0.00,R. Gronkowski TE - NE ,0.00,D. Moore WR - LV ,4.30,S. Ridley RB - NE ,13.20,R. White WR - ATL ,17.70,Patriots DEF ,5.00,101.06,-,-
Tilly,5,P. Manning QB - DEN ,14.10,B. Green-Ellis RB - CIN ,10.20,R. Mathews RB - LAC ,6.50,J. Jones WR - ATL ,12.60,M. Colston WR - NO ,4.10,V. Davis TE - SF ,0.40,E. Decker WR - DEN ,8.80,S. Gostkowski K - NE ,6.00,49ers DEF ,8.00,M. Bennett TE - NYG ,9.20,L. McCoy RB - PHI ,0.00,A. Hernandez TE - NE ,17.80,A. Bradshaw RB - NYG ,3.30,B. Lloyd WR - NE ,20.90,A. Luck QB - IND ,8.54,R. Griffin III QB - WAS ,17.08,Cardinals DEF ,-1.00,70.70,bob,78.02
LeMar,2,T. Romo QB - DAL ,12.72,C. Johnson RB - TEN ,5.90,D. Martin RB - TB ,19.20,S. Johnson WR - BUF ,7.10,M. Floyd WR - LAC ,7.00,J. Graham TE - NO ,5.60,M. Lynch RB - SEA ,30.80,D. Bailey K - DAL ,8.00,Seahawks DEF ,41.00,J. Stewart RB - CAR ,0.00,J. Nelson WR - GB ,0.00,P. Garcon WR - WAS ,14.50,M. Stafford QB - DET ,17.46,J. Maclin WR - PHI ,16.40,H. Nicks WR - NYG ,12.70,M. Ingram RB - NO ,6.80,B. Marshall WR - CHI ,22.00,137.32,-,-
Quinten,3,D. Brees QB - NO ,14.06,A. Foster RB - HOU ,14.50,F. Gore RB - SF ,14.50,R. Cobb WR - GB ,10.20,M. Wallace WR - PIT ,23.20,T. Gonzalez TE - ATL ,6.10,R. Wayne WR - IND ,11.90,L. Tynes K - NYG ,10.00,Texans DEF ,-1.00,P. Harvin WR - MIN ,0.00,C. Newton QB - CAR ,37.08,M. Austin WR - DAL ,4.60,A. Gates TE - LAC ,3.10,M. Bush RB - CHI ,0.60,A. Green RB - GB ,6.60,G. Zuerlein K - STL ,1.00,Packers DEF ,12.00,103.46,Will,107.94
bob,4,A. Rodgers QB - GB ,14.12,C. Spiller RB - BUF ,5.20,A. Morris RB - WAS ,16.90,T. Smith WR - BAL ,2.10,V. Cruz WR - NYG ,18.10,J. Witten TE - DAL ,6.20,A. Green WR - CIN ,4.40,M. Bryant K - ATL ,2.00,Broncos DEF ,9.00,J. Charles RB - KC ,22.50,K. Moreno RB - DEN ,22.70,D. Bryant WR - DAL ,9.90,O. Daniels TE - HOU ,2.40,M. Turner RB - ATL ,7.40,V. Jackson WR - TB ,19.10,D. Sproles RB - NO ,20.40,F. Jackson RB - BUF ,1.00,78.02,Tilly,70.70
