Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Will,6,A. Dalton QB - CIN ,15.56,M. Forte RB - CHI ,20.80,R. Bush RB - MIA ,12.60,A. Roberts WR - ARI ,8.60,A. Johnson WR - HOU ,11.80,H. Miller TE - PIT ,4.80,R. Rice RB - BAL ,16.40,R. Gould K - CHI ,15.00,Vikings DEF ,0.00,S. Greene RB - NYJ ,0.00,B. Hartline WR - MIA ,10.70,D. Bowe WR - KC ,5.90,M. Jones-Drew RB - JAC ,0.00,W. Welker WR - NE ,0.00,E. Manning QB - NYG ,3.00,N. Washington WR - TEN ,9.50,D. Akers K - SF ,0.00,105.56,Quinten,108.96
Dannye Van,1,M. Ryan QB - ATL ,14.48,A. Peterson RB - MIN ,31.30,T. Richardson RB - CLE ,13.60,D. Thomas WR - DEN ,7.70,C. Johnson WR - DET ,12.90,B. Pettigrew TE - DET ,1.10,R. White WR - ATL ,11.80,J. Hanson K - DET ,7.00,Bears DEF ,25.00,R. Jennings RB - JAC ,7.20,C. Spiller RB - BUF ,10.20,R. Gronkowski TE - NE ,0.00,D. Murray RB - DAL ,0.00,T. Smith WR - BAL ,10.60,S. Ridley RB - NE ,0.00,T. Brady QB - NE ,0.00,F. Jackson RB - BUF ,3.50,124.88,Tilly,67.30
Tilly,2,R. Griffin III QB - WAS ,13.90,L. McCoy RB - PHI ,13.30,W. McGahee RB - DEN ,7.00,J. Jones WR - ATL ,13.70,M. Colston WR - NO ,10.60,M. Bennett TE - NYG ,4.00,A. Bradshaw RB - NYG ,4.80,S. Gostkowski K - NE ,0.00,49ers DEF ,0.00,B. Green-Ellis RB - CIN ,11.30,A. Hernandez TE - NE ,0.00,E. Decker WR - DEN ,21.90,V. Davis TE - SF ,0.00,P. Manning QB - DEN ,19.44,B. Lloyd WR - NE ,0.00,A. Luck QB - IND ,25.82,Cardinals DEF ,2.00,67.30,Dannye Van,124.88
LeMar,3,B. Roethlisberger QB - PIT ,12.54,M. Lynch RB - SEA ,21.00,D. Martin RB - TB ,51.20,J. Nelson WR - GB ,0.00,B. Marshall WR - CHI ,30.20,J. Graham TE - NO ,13.20,F. Jones RB - DAL ,10.90,M. Prater K - DEN ,7.00,Chargers DEF ,25.00,C. Johnson RB - TEN ,17.10,P. Garcon WR - WAS ,0.00,J. Maclin WR - PHI ,2.80,H. Nicks WR - NYG ,1.00,R. Fitzpatrick QB - BUF ,8.96,P. Thomas RB - NO ,7.00,C. Fleener TE - IND ,0.00,V. Ballard RB - IND ,9.80,171.04,bob,99.72
Quinten,4,D. Brees QB - NO ,15.46,A. Foster RB - HOU ,17.10,A. Green RB - GB ,7.80,R. Cobb WR - GB ,18.60,M. Wallace WR - PIT ,12.60,T. Gonzalez TE - ATL ,3.60,R. Wayne WR - IND ,13.80,L. Tynes K - NYG ,10.00,Texans DEF ,10.00,P. Harvin WR - MIN ,1.40,C. Newton QB - CAR ,21.74,M. Austin WR - DAL ,7.60,A. Gates TE - LAC ,10.30,F. Gore RB - SF ,0.00,M. Bush RB - CHI ,3.30,G. Zuerlein K - STL ,0.00,Packers DEF ,7.00,108.96,Will,105.56
bob,5,A. Rodgers QB - GB ,26.02,R. Mathews RB - LAC ,7.20,A. Morris RB - WAS ,7.60,A. Green WR - CIN ,16.50,V. Cruz WR - NYG ,6.70,J. Witten TE - DAL ,5.10,J. Charles RB - KC ,6.60,B. Walsh K - MIN ,10.00,Giants DEF ,14.00,D. McFadden RB - LV ,1.70,O. Daniels TE - HOU ,12.20,M. Turner RB - ATL ,16.20,L. Fitzgerald WR - ARI ,13.40,V. Jackson WR - TB ,14.40,J. Jones WR - GB ,12.10,M. Williams WR - TB ,12.80,Falcons DEF ,5.00,99.72,LeMar,171.04
