Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Will,4,E. Manning QB - NYG ,12.42,L. Blount RB - NE ,18.90,L. Miller RB - MIA ,26.10,J. Jones WR - ATL ,13.70,A. Brown WR - PIT ,28.60,J. Reed TE - WAS ,7.80,T. Benjamin WR - CLE ,2.20,S. Gostkowski K - NE ,9.00,Falcons DEF ,5.00,J. Forsett RB - BAL ,0.00,A. Foster RB - HOU ,0.00,J. Maclin WR - KC ,0.00,C. Newton QB - CAR ,33.58,C. Palmer QB - ARI ,0.00,K. Aiken WR - BAL ,0.00,A. Ellington RB - ARI ,0.00,Z. Ertz TE - PHI ,4.40,S. Watkins WR - BUF ,22.80,D. Adams WR - GB ,11.30,A. Seferian-Jenkins TE - TB ,0.00,S. Diggs WR - MIN ,4.20,Panthers DEF ,8.00,J. Gordon WR - CLE ,0.00,-,-,123.72,Tilly,124.46
Dannye Van,8,D. Carr QB - LV ,26.34,J. Stewart RB - CAR ,6.80,J. Hill RB - CIN ,5.20,M. Crabtree WR - LV ,22.80,A. Jeffery WR - CHI ,15.10,V. Davis TE - DEN ,0.00,J. Langford RB - CHI ,22.20,J. Brown K - NYG ,16.00,Broncos DEF ,7.00,S. Johnson WR - LAC ,6.80,L. Hankerson WR - BUF ,0.00,J. Witten TE - DAL ,4.30,A. Luck QB - IND ,21.48,R. Turbin RB - DAL ,0.00,C. Michael RB - SEA ,0.00,G. Bernard RB - CIN ,8.60,D. Hopkins WR - HOU ,0.00,L. Murray RB - LV ,7.50,J. Landry WR - MIA ,9.06,J. Matthews WR - PHI ,19.30,A. Blue RB - HOU ,0.00,K. Williams RB - BUF ,23.00,K. Benjamin WR - CAR ,0.00,K. White WR - CHI ,0.00,121.44,LeMar,101.12
Tilly,3,B. Roethlisberger QB - PIT ,21.36,D. Williams RB - PIT ,36.50,A. Peterson RB - MIN ,20.30,J. Edelman WR - NE ,9.50,J. Jones WR - GB ,5.70,B. Watson TE - NO ,6.00,B. Cooks WR - NO ,13.10,J. Lambo K - LAC ,7.00,Colts DEF ,5.00,C. Johnson RB - ARI ,0.00,M. Bennett TE - CHI ,11.70,J. Starks RB - GB ,18.20,A. Dalton QB - CIN ,21.86,J. McCown QB - CLE ,0.00,V. Jackson WR - TB ,0.00,V. Cruz WR - NYG ,0.00,C. Anderson RB - DEN ,3.80,J. Winston QB - TB ,18.28,T. Montgomery WR - GB ,0.00,T. Rawls RB - SEA ,0.00,J. Tucker K - BAL ,0.00,Chiefs DEF ,0.00,J. Nelson WR - GB ,0.00,-,-,124.46,Will,123.72
LeMar,6,M. Ryan QB - ATL ,16.32,D. Murray RB - PHI ,22.10,E. Lacy RB - GB ,-1.00,D. Thomas WR - DEN ,5.00,A. Hurns WR - JAC ,18.20,G. Olsen TE - CAR ,12.60,R. Cobb WR - GB ,15.90,M. Bryant K - ATL ,10.00,Dolphins DEF ,2.00,R. Jennings RB - NYG ,4.70,M. Stafford QB - DET ,0.00,R. Mathews RB - PHI ,12.70,J. Thomas TE - JAC ,1.40,A. Gates TE - LAC ,6.90,A. Boldin WR - SF ,0.00,R. White WR - ATL ,2.00,R. Matthews WR - MIA ,5.40,M. Wheaton WR - PIT ,-0.20,K. Davis RB - KC ,0.00,M. Gordon RB - LAC ,5.60,Cardinals DEF ,0.00,Seahawks DEF ,0.00,-,-,-,-,101.12,Dannye Van,121.44
Quinten,7,A. Rodgers QB - GB ,32.96,A. Morris RB - WAS ,1.00,T. Yeldon RB - JAC ,10.10,E. Sanders WR - DEN ,15.00,A. Robinson WR - JAC ,12.10,D. Allen TE - IND ,0.00,D. Moncrief WR - IND ,3.00,A. Vinatieri K - IND ,11.00,Patriots DEF ,9.00,J. Bell RB - DET ,0.00,J. Graham TE - SEA ,0.00,T. Taylor QB - BUF ,15.64,M. Asiata RB - MIN ,0.40,C. Johnson WR - DET ,0.00,M. Lynch RB - SEA ,0.00,P. Rivers QB - LAC ,15.20,C. Hyde RB - SF ,0.00,C. Sims RB - TB ,6.20,J. Brown WR - ARI ,0.00,T. Coleman RB - ATL ,0.30,B. Perriman WR - BAL ,0.00,Packers DEF ,-2.00,-,-,-,-,94.16,Jeff,104.98
bob,1,B. Bortles QB - JAC ,20.44,M. Ingram RB - NO ,9.60,D. Freeman RB - ATL ,13.90,D. Bryant WR - DAL ,16.40,B. Marshall WR - NYJ ,10.40,G. Barnidge TE - CLE ,3.50,T. Gurley RB - STL ,16.90,B. McManus K - DEN ,6.00,Eagles DEF ,12.00,E. Decker WR - NYJ ,13.90,B. LaFell WR - NE ,10.20,D. Lewis RB - NE ,5.30,T. Romo QB - DAL ,0.00,M. Floyd WR - LAC ,0.00,C. Ivory RB - NYJ ,16.80,M. Jones WR - CIN ,7.80,R. Tannehill QB - MIA ,11.48,J. Randle RB ,0.00,T. Kelce TE - KC ,0.00,M. Evans WR - TB ,13.00,D. Parker WR - MIA ,0.00,Giants DEF ,13.00,L. Bell RB - PIT ,0.00,-,-,109.14,the old man,106.66
the old man,5,T. Brady QB - NE ,17.86,D. McFadden RB - DAL ,12.20,F. Gore RB - IND ,16.20,P. Garcon WR - WAS ,7.00,A. Cooper WR - LV ,14.80,R. Gronkowski TE - NE ,4.70,L. McCoy RB - BUF ,17.90,D. Bailey K - DAL ,9.00,Bengals DEF ,7.00,D. Jackson WR - WAS ,1.50,G. Tate WR - DET ,0.00,L. Fitzgerald WR - ARI ,0.00,D. Sproles RB - PHI ,2.60,T. Hilton WR - IND ,8.20,R. Hillman RB - DEN ,0.10,T. Williams WR - DAL ,2.70,T. Austin WR - STL ,8.10,B. Sankey RB - TEN ,0.00,W. Snead WR - NO ,9.50,A. Abdullah RB - DET ,0.00,D. Johnson RB - CLE ,9.80,M. Mariota QB - TEN ,33.34,D. Cobb RB - TEN ,0.00,-,-,106.66,bob,109.14
Jeff,2,D. Brees QB - NO ,31.38,D. Woodhead RB - LAC ,17.10,D. Martin RB - TB ,2.30,A. Green WR - CIN ,5.30,O. Beckham WR - NYG ,10.50,T. Eifert TE - CIN ,23.30,M. Bryant WR - PIT ,9.10,M. Crosby K - GB ,3.00,Rams DEF ,3.00,M. Forte RB - CHI ,0.00,S. Vereen RB - NYG ,10.30,N. Washington WR - HOU ,0.00,R. Wilson QB - SEA ,0.00,K. Wright WR - TEN ,0.00,I. Crowell RB - CLE ,6.40,C. West RB - KC ,0.00,M. Jones RB - WAS ,2.40,D. Johnson RB - ARI ,0.00,S. Hauschka K - SEA ,0.00,Jets DEF ,14.00,J. Charles RB - KC ,0.00,K. Allen WR - LAC ,0.00,-,-,-,-,104.98,Quinten,94.16
