Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Will,4,C. Newton QB - CAR ,17.82,L. Blount RB - NE ,2.70,L. Miller RB - MIA ,1.30,J. Jones WR - ATL ,5.60,S. Diggs WR - MIN ,3.10,J. Reed TE - WAS ,9.80,A. Brown WR - PIT ,5.10,S. Gostkowski K - NE ,6.00,Panthers DEF ,21.00,D. Amendola WR - NE ,0.00,A. Foster RB - HOU ,0.00,J. Maclin WR - KC ,22.00,C. Palmer QB - ARI ,17.44,E. Manning QB - NYG ,14.84,K. Aiken WR - BAL ,14.00,T. Benjamin WR - CLE ,16.00,A. Ellington RB - ARI ,4.60,Z. Ertz TE - PHI ,0.00,S. Watkins WR - BUF ,27.80,D. Adams WR - GB ,1.40,A. Seferian-Jenkins TE - TB ,0.00,Falcons DEF ,3.00,J. Gordon WR - CLE ,0.00,-,-,72.42,bob,55.34
Dannye Van,8,D. Carr QB - LV ,23.70,J. Stewart RB - CAR ,7.70,G. Bernard RB - CIN ,6.70,D. Hopkins WR - HOU ,3.60,J. Landry WR - MIA ,22.90,J. Witten TE - DAL ,3.60,A. Blue RB - HOU ,14.10,J. Brown K - NYG ,2.00,Broncos DEF ,5.00,S. Johnson WR - LAC ,15.20,M. Crabtree WR - LV ,7.90,V. Davis TE - DEN ,1.00,A. Luck QB - IND ,0.00,A. Jeffery WR - CHI ,9.00,B. Osweiler QB - DEN ,13.20,L. Murray RB - LV ,8.20,J. Matthews WR - PHI ,12.00,J. Hill RB - CIN ,10.00,J. White RB - NE ,0.60,J. Langford RB - CHI ,11.30,K. Williams RB - BUF ,0.50,D. Green-Beckham WR - TEN ,4.20,K. Benjamin WR - CAR ,0.00,K. White WR - CHI ,0.00,89.30,Tilly,111.44
Tilly,3,B. Roethlisberger QB - PIT ,22.04,A. Peterson RB - MIN ,30.70,T. Rawls RB - SEA ,14.10,V. Jackson WR - TB ,7.60,J. Jones WR - GB ,0.00,B. Watson TE - NO ,5.30,D. Williams RB - PIT ,17.70,J. Tucker K - BAL ,9.00,Chiefs DEF ,5.00,C. Johnson RB - ARI ,1.70,M. Bennett TE - CHI ,0.00,J. Edelman WR - NE ,0.00,J. Starks RB - GB ,8.00,A. Dalton QB - CIN ,19.72,J. McCown QB - CLE ,13.68,V. Cruz WR - NYG ,0.00,C. Anderson RB - DEN ,27.30,B. Cooks WR - NO ,3.50,J. Winston QB - TB ,14.50,T. Montgomery WR - GB ,0.00,J. Lambo K - LAC ,7.00,Colts DEF ,11.00,J. Nelson WR - GB ,0.00,-,-,111.44,Dannye Van,89.30
LeMar,6,M. Stafford QB - DET ,34.78,D. Murray RB - PHI ,3.00,E. Lacy RB - GB ,17.90,D. Thomas WR - DEN ,3.60,A. Hurns WR - JAC ,4.20,G. Olsen TE - CAR ,7.00,R. Cobb WR - GB ,7.40,C. Catanzaro K - ARI ,7.00,Cardinals DEF ,10.00,M. Ryan QB - ATL ,9.10,R. Jennings RB - NYG ,2.80,R. Mathews RB - PHI ,0.00,J. Thomas TE - JAC ,17.60,A. Gates TE - LAC ,17.30,A. Boldin WR - SF ,9.30,R. White WR - ATL ,6.00,R. Matthews WR - MIA ,0.00,M. Wheaton WR - PIT ,26.10,K. Davis RB - KC ,0.10,M. Gordon RB - LAC ,8.00,D. Carpenter K - BUF ,4.00,Seahawks DEF ,9.00,-,-,-,-,94.88,Jeff,98.42
Quinten,7,A. Rodgers QB - GB ,13.38,A. Morris RB - WAS ,9.00,C. Hyde RB - SF ,0.00,C. Johnson WR - DET ,27.30,A. Robinson WR - JAC ,11.60,J. Graham TE - SEA ,7.50,T. Yeldon RB - JAC ,8.20,A. Vinatieri K - IND ,13.00,Patriots DEF ,4.00,J. Bell RB - DET ,14.20,E. Sanders WR - DEN ,11.30,T. Taylor QB - BUF ,26.24,M. Asiata RB - MIN ,2.00,M. Lynch RB - SEA ,0.00,P. Rivers QB - LAC ,28.90,D. Allen TE - IND ,1.90,D. Moncrief WR - IND ,11.40,C. Sims RB - TB ,3.90,J. Brown WR - ARI ,9.90,T. Coleman RB - ATL ,9.00,R. Gould K - CHI ,5.00,Packers DEF ,2.00,-,-,-,-,93.98,the old man,109.50
bob,2,T. Romo QB - DAL ,-1.76,M. Ingram RB - NO ,9.70,T. Gurley RB - STL ,3.00,D. Bryant WR - DAL ,2.60,B. Marshall WR - NYJ ,25.10,G. Barnidge TE - CLE ,9.10,B. LaFell WR - NE ,3.60,B. McManus K - DEN ,6.00,Eagles DEF ,-2.00,E. Decker WR - NYJ ,12.20,M. Floyd WR - LAC ,1.20,C. Ivory RB - NYJ ,16.20,M. Jones WR - CIN ,5.50,R. Tannehill QB - MIA ,22.04,T. Riddick RB - DET ,12.80,T. Kelce TE - KC ,12.90,M. Evans WR - TB ,6.40,B. Bortles QB - JAC ,22.46,D. Freeman RB - ATL ,0.00,A. Andrews RB - TEN ,4.60,D. Parker WR - MIA ,14.00,D. Funchess WR - CAR ,1.90,D. Lewis RB - NE ,0.00,L. Bell RB - PIT ,0.00,55.34,Will,72.42
the old man,5,T. Brady QB - NE ,23.20,L. McCoy RB - BUF ,14.10,F. Gore RB - IND ,3.70,L. Fitzgerald WR - ARI ,6.60,A. Cooper WR - LV ,11.50,R. Gronkowski TE - NE ,14.80,D. Jackson WR - WAS ,12.60,D. Bailey K - DAL ,6.00,Bengals DEF ,17.00,D. McFadden RB - DAL ,7.60,P. Garcon WR - WAS ,3.50,G. Tate WR - DET ,11.00,D. Sproles RB - PHI ,2.50,T. Hilton WR - IND ,21.50,R. Hillman RB - DEN ,11.90,T. Williams WR - DAL ,3.90,T. Austin WR - STL ,15.60,B. Sankey RB - TEN ,0.00,W. Snead WR - NO ,5.00,A. Abdullah RB - DET ,7.50,D. Johnson RB - CLE ,5.00,M. Mariota QB - TEN ,19.42,D. Cobb RB - TEN ,0.80,-,-,109.50,Quinten,93.98
Jeff,1,D. Brees QB - NO ,7.12,D. Martin RB - TB ,9.80,S. Ware RB - KC ,17.50,A. Green WR - CIN ,18.10,O. Beckham WR - NYG ,20.20,T. Eifert TE - CIN ,10.00,D. Woodhead RB - LAC ,4.70,S. Hauschka K - SEA ,3.00,Jets DEF ,8.00,M. Forte RB - CHI ,5.30,S. Vereen RB - NYG ,3.60,N. Washington WR - HOU ,4.30,M. Floyd WR - ARI ,1.40,R. Wilson QB - SEA ,35.20,K. Wright WR - TEN ,1.50,M. Bryant WR - PIT ,14.00,I. Crowell RB - CLE ,0.70,C. West RB - KC ,0.00,J. Allen RB - BAL ,14.40,M. Jones RB - WAS ,6.40,D. Johnson RB - ARI ,8.90,Rams DEF ,2.00,J. Charles RB - KC ,0.00,K. Allen WR - LAC ,0.00,98.42,LeMar,94.88
