Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Will,4,C. Newton QB - CAR ,20.98,L. Blount RB - NE ,13.70,L. Miller RB - MIA ,15.30,A. Brown WR - PIT ,27.90,S. Watkins WR - BUF ,1.40,J. Reed TE - WAS ,14.90,S. Diggs WR - MIN ,5.60,S. Gostkowski K - NE ,11.00,Panthers DEF ,9.00,J. Forsett RB - BAL ,6.40,A. Foster RB - HOU ,0.00,J. Maclin WR - KC ,1.70,J. Jones WR - ATL ,0.00,C. Palmer QB - ARI ,20.32,E. Manning QB - NYG ,21.44,K. Aiken WR - BAL ,7.30,T. Benjamin WR - CLE ,10.60,A. Ellington RB - ARI ,14.80,Z. Ertz TE - PHI ,6.80,D. Adams WR - GB ,7.90,A. Seferian-Jenkins TE - TB ,0.00,Falcons DEF ,0.00,J. Gordon WR - CLE ,0.00,-,-,119.78,LeMar,81.58
Dannye Van,8,D. Carr QB - LV ,17.28,G. Bernard RB - CIN ,7.90,J. White RB - NE ,1.10,D. Hopkins WR - HOU ,11.70,J. Landry WR - MIA ,11.80,J. Witten TE - DAL ,4.20,M. Crabtree WR - LV ,5.50,J. Brown K - NYG ,16.00,Broncos DEF ,1.00,S. Johnson WR - LAC ,0.00,J. Stewart RB - CAR ,15.10,V. Davis TE - DEN ,1.90,A. Luck QB - IND ,0.00,A. Jeffery WR - CHI ,2.30,C. Michael RB - SEA ,0.80,L. Murray RB - LV ,7.70,J. Matthews WR - PHI ,2.10,A. Blue RB - HOU ,3.10,J. Hill RB - CIN ,2.00,J. Langford RB - CHI ,30.20,K. Williams RB - BUF ,11.00,D. Green-Beckham WR - TEN ,0.00,K. Benjamin WR - CAR ,0.00,K. White WR - CHI ,0.00,76.48,bob,76.62
Tilly,3,A. Dalton QB - CIN ,8.98,D. Williams RB - PIT ,6.90,A. Peterson RB - MIN ,27.60,J. Edelman WR - NE ,5.30,B. Cooks WR - NO ,22.90,B. Watson TE - NO ,1.90,J. Starks RB - GB ,9.60,J. Tucker K - BAL ,2.00,Chiefs DEF ,19.00,C. Johnson RB - ARI ,5.80,M. Bennett TE - CHI ,1.80,J. McCown QB - CLE ,0.00,B. Roethlisberger QB - PIT ,26.96,V. Jackson WR - TB ,0.00,J. Jones WR - GB ,0.00,V. Cruz WR - NYG ,0.00,C. Anderson RB - DEN ,0.90,J. Winston QB - TB ,12.86,T. Montgomery WR - GB ,0.00,T. Rawls RB - SEA ,1.90,J. Lambo K - LAC ,0.00,Colts DEF ,0.00,J. Nelson WR - GB ,0.00,-,-,104.18,Quinten,91.72
LeMar,6,M. Stafford QB - DET ,15.78,R. Jennings RB - NYG ,5.10,D. Murray RB - PHI ,11.90,D. Thomas WR - DEN ,7.10,R. Matthews WR - MIA ,9.70,G. Olsen TE - CAR ,8.00,R. Cobb WR - GB ,5.00,C. Catanzaro K - ARI ,13.00,Cardinals DEF ,6.00,M. Ryan QB - ATL ,0.00,R. Mathews RB - PHI ,10.00,J. Thomas TE - JAC ,2.30,A. Gates TE - LAC ,0.00,A. Boldin WR - SF ,0.00,R. White WR - ATL ,0.00,M. Wheaton WR - PIT ,1.80,E. Lacy RB - GB ,0.00,K. Davis RB - KC ,0.00,A. Hurns WR - JAC ,12.20,M. Gordon RB - LAC ,0.00,Dolphins DEF ,7.00,Seahawks DEF ,11.00,-,-,-,-,81.58,Will,119.78
Quinten,7,A. Rodgers QB - GB ,22.12,A. Morris RB - WAS ,10.60,T. Yeldon RB - JAC ,6.70,C. Johnson WR - DET ,8.10,A. Robinson WR - JAC ,11.10,J. Graham TE - SEA ,4.10,M. Lynch RB - SEA ,11.00,R. Gould K - CHI ,13.00,Patriots DEF ,5.00,J. Bell RB - DET ,3.50,E. Sanders WR - DEN ,0.00,T. Taylor QB - BUF ,11.52,M. Asiata RB - MIN ,2.50,P. Rivers QB - LAC ,0.00,D. Allen TE - IND ,0.00,D. Moncrief WR - IND ,0.00,C. Hyde RB - SF ,0.00,C. Sims RB - TB ,3.10,J. Brown WR - ARI ,0.00,T. Coleman RB - ATL ,0.00,A. Vinatieri K - IND ,0.00,Packers DEF ,3.00,-,-,-,-,91.72,Tilly,104.18
bob,1,B. Bortles QB - JAC ,16.02,M. Ingram RB - NO ,9.80,T. Gurley RB - STL ,14.90,D. Bryant WR - DAL ,4.50,B. Marshall WR - NYJ ,8.30,T. Kelce TE - KC ,3.60,C. Ivory RB - NYJ ,11.50,B. McManus K - DEN ,1.00,Eagles DEF ,7.00,G. Barnidge TE - CLE ,12.50,E. Decker WR - NYJ ,14.50,B. LaFell WR - NE ,6.60,T. Romo QB - DAL ,0.00,M. Floyd WR - LAC ,0.00,M. Jones WR - CIN ,3.60,R. Tannehill QB - MIA ,16.48,T. Riddick RB - DET ,2.60,M. Evans WR - TB ,12.60,D. Freeman RB - ATL ,0.00,A. Andrews RB - TEN ,0.80,D. Parker WR - MIA ,0.00,Giants DEF ,7.00,D. Lewis RB - NE ,0.00,L. Bell RB - PIT ,0.00,76.62,Dannye Van,76.48
the old man,5,T. Brady QB - NE ,18.26,D. McFadden RB - DAL ,5.80,D. Johnson RB - CLE ,2.80,L. Fitzgerald WR - ARI ,13.00,A. Cooper WR - LV ,7.90,R. Gronkowski TE - NE ,17.30,D. Jackson WR - WAS ,4.40,D. Bailey K - DAL ,8.00,Bengals DEF ,9.00,P. Garcon WR - WAS ,1.00,L. McCoy RB - BUF ,15.90,G. Tate WR - DET ,6.30,F. Gore RB - IND ,0.00,D. Sproles RB - PHI ,3.40,T. Hilton WR - IND ,0.00,R. Hillman RB - DEN ,11.10,T. Williams WR - DAL ,3.30,T. Austin WR - STL ,2.30,B. Sankey RB - TEN ,0.70,W. Snead WR - NO ,0.00,A. Abdullah RB - DET ,2.20,M. Mariota QB - TEN ,7.80,D. Cobb RB - TEN ,0.00,-,-,86.46,Jeff,102.86
Jeff,2,D. Brees QB - NO ,12.36,D. Martin RB - TB ,10.30,M. Jones RB - WAS ,24.70,A. Green WR - CIN ,4.70,O. Beckham WR - NYG ,16.40,T. Eifert TE - CIN ,2.60,M. Bryant WR - PIT ,21.80,S. Hauschka K - SEA ,8.00,Rams DEF ,2.00,M. Forte RB - CHI ,0.00,D. Woodhead RB - LAC ,0.00,S. Vereen RB - NYG ,2.60,N. Washington WR - HOU ,3.20,M. Floyd WR - ARI ,23.30,R. Wilson QB - SEA ,16.80,K. Wright WR - TEN ,0.00,C. Beasley WR - DAL ,0.80,I. Crowell RB - CLE ,-0.10,C. West RB - KC ,28.10,D. Johnson RB - ARI ,0.80,M. Crosby K - GB ,4.00,Jets DEF ,4.00,J. Charles RB - KC ,0.00,K. Allen WR - LAC ,0.00,102.86,the old man,86.46
